Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
12,0.6222667694091797,-0.5159013271331787,64.8414535522461,4.472654014354301,5.6457063874177145,-108.19624877694862,10.762777,-11.614514,20.67546,5.3866067,-13.903086,0.0,-35.76858,-15.682769,2.8016007,83.68588,-3.757937,0.0,-5.426378,4.0648375,-7.819663,8.653927,-20.294916,7.263336,26.004938,-34.692398,-67.081474,-3.8571818,14.552535,-12.210748,7.1432986,-26.182396,48.14179,-60.818077,-10.287279,14.269903,-0.34620222
13,0.6198434829711914,-0.7201730012893677,64.74046325683594,4.436070982203215,5.65076403247916,-108.05723619314492,10.977351,-11.605539,20.451372,5.400466,-14.247648,0.0,-36.461266,-15.05015,2.7394798,83.5949,-4.8413334,0.0,-5.755011,4.2014647,-7.8339167,8.6296015,-20.388485,6.805269,26.115421,-34.76103,-67.90935,-4.3278737,14.523618,-12.210748,7.274997,-26.219257,48.015266,-60.87841,-10.546205,14.2652645,-0.48461476
14,0.5956878066062927,-0.9209282398223877,64.64433288574219,4.341133232495365,5.680471433313333,-107.89438651300618,11.186932,-11.53116,20.170815,5.4136033,-14.566295,0.0,-37.102535,-14.391194,2.5132241,83.21498,-5.7467504,0.0,-6.073169,4.329468,-7.7712154,8.578266,-20.46845,6.306566,26.219755,-34.844322,-68.71281,-4.805189,14.4845915,-12.210748,7.418554,-26.244696,47.84674,-60.889786,-10.901575,14.197285,-0.61892426
15,0.5809861421585083,-1.1470537185668945,64.56403350830078,4.219444436671768,5.722379978044475,-107.72547581803668,11.390994,-11.425665,19.88384,5.4241786,-14.860672,0.0,-37.698467,-13.751209,2.155006,82.604614,-6.562156,0.0,-6.3779416,4.4546294,-7.6721964,8.504984,-20.533485,5.7754817,26.318802,-34.938225,-69.47711,-5.293352,14.445597,-12.210748,7.574903,-26.260523,47.646904,-60.861996,-11.256613,14.111731,-0.7170649
16,0.5749587416648865,-1.3871057033538818,64.49028015136719,4.102405535076252,5.76449457403892,-107.56792093995263,11.590643,-11.325638,19.639467,5.431523,-15.136951,0.0,-38.253414,-13.175935,1.6949188,81.82305,-7.373984,0.0,-6.6665454,4.5819745,-7.5775146,8.418831,-20.581244,5.224893,26.412228,-35.033928,-70.19051,-5.803256,14.418679,-12.210748,7.742983,-26.267902,47.43383,-60.806664,-11.5171,14.056053,-0.7476807
17,0.5637845396995544,-1.6376101970672607,64.4192886352539,4.001329512436728,5.799773566707303,-107.42184004439731,11.780889,-11.240318,19.452095,5.4412193,-15.396002,0.0,-38.755497,-12.696798,1.0960146,80.87257,-8.209365,0.0,-6.9466186,4.715543,-7.5016484,8.324894,-20.608442,4.6551776,26.49873,-35.12345,-70.83523,-6.3613434,14.400055,-12.210748,7.9169316,-26.267145,47.21916,-60.71477,-11.649273,14.040298,-0.6936008
18,0.541642427444458,-1.8883724212646484,64.35376739501953,3.89858230950509,5.835486159655442,-107.27955118542242,11.968308,-11.150417,19.294168,5.4465613,-15.634352,0.0,-39.206146,-12.284846,0.35271096,79.72518,-9.016318,0.0,-7.217395,4.8516216,-7.4218435,8.22386,-20.614332,4.0647626,26.578966,-35.204395,-71.42468,-6.961372,14.38706,-12.210748,8.095145,-26.258545,47.003994,-60.58628,-11.707772,14.044659,-0.5780269
19,0.523288369178772,-2.1470391750335693,64.29427337646484,3.7811774478553657,5.882941556541833,-107.1465221116042,12.149357,-11.048882,19.156069,5.4492087,-15.853708,0.0,-39.620808,-11.886571,-0.46286616,78.3881,-9.759397,0.0,-7.4629774,4.9829307,-7.322768,8.119222,-20.601492,3.4653199,26.651295,-35.276382,-71.99554,-7.5642796,14.3944435,-12.210748,8.281107,-26.243532,46.7943,-60.44354,-11.736575,14.07067,-0.4349814
20,0.49459269642829895,-2.410344362258911,64.24329376220703,3.637946585355223,5.953161391614628,-107.02938759794148,12.315415,-10.925123,19.029623,5.454364,-16.054,0.0,-40.018604,-11.450801,-1.2760972,76.87082,-10.404805,0.0,-7.667604,5.1020656,-7.1889205,8.016261,-20.574762,2.8698297,26.71787,-35.340252,-72.58456,-8.131154,14.437906,-12.210748,8.479174,-26.22391,46.596886,-60.31033,-11.779728,14.122022,-0.30350128
21,0.4683261811733246,-2.683192491531372,64.19790649414062,3.4636941580601732,6.0519551793165185,-106.92410834367138,12.468109,-10.775212,18.908092,5.45049,-16.223438,0.0,-40.402966,-10.980509,-2.1123445,75.17503,-10.972201,0.0,-7.817905,5.2039,-7.011951,7.9159555,-20.536066,2.2806196,26.77705,-35.400394,-73.20259,-8.656737,14.5416565,-12.210748,8.698985,-26.202082,46.416466,-60.193565,-11.877122,14.218202,-0.20889333
