Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
12,0.05022672191262245,1.9326701164245605,66.29586029052734,1.0657374559295156,-0.9500070002711045,-92.82984922003563,2.1716554,4.0019307,5.5944486,6.740672,-6.9773417,0.0,3.0721447,-4.919491,-9.855392,6.6730866,-11.35055,0.0,-3.345075,4.4157867,-1.3767531,2.2017267,-1.8366245,11.076672,21.566652,-36.52884,-52.600815,-13.161517,7.2330685,-12.210748,5.3679967,-20.563574,24.807936,-45.7963,11.455054,4.316976,11.714341
13,0.05016598105430603,1.9369659423828125,66.29536437988281,1.0662388795960107,-0.9514534533999771,-92.82991088932833,2.1695995,4.00154,5.5945306,6.7404323,-6.9736953,0.0,3.0702326,-4.9197907,-9.85545,6.671851,-11.346059,0.0,-3.3452044,4.4161763,-1.3769274,2.2017336,-1.8366294,11.076579,21.571198,-36.529327,-52.601208,-13.161456,7.2328777,-12.210748,5.3679237,-20.568655,24.808313,-45.796677,11.454891,4.316892,11.714422
14,0.05030479654669762,1.9384413957595825,66.29520416259766,1.0662716658504687,-0.9519750909416659,-92.82994993487372,2.169014,4.0013075,5.5945635,6.7400084,-6.9727874,0.0,3.0694294,-4.9199204,-9.855432,6.6717205,-11.344609,0.0,-3.3452747,4.4163346,-1.3769943,2.2017362,-1.8366314,11.076546,21.572905,-36.529514,-52.601353,-13.161434,7.232806,-12.210748,5.3678956,-20.57056,24.808453,-45.796818,11.454826,4.3168592,11.714453
15,0.05071282014250755,1.9386388063430786,66.29537200927734,1.0661876040509923,-0.9520872313267543,-92.82996959427332,2.1688519,4.0011916,5.594607,6.7400966,-6.973437,0.0,3.0694337,-4.9201574,-9.855395,6.67166,-11.344385,0.0,-3.3453047,4.416391,-1.3770161,2.201737,-1.836632,11.076534,21.573475,-36.529575,-52.601402,-13.1614275,7.2327824,-12.210748,5.367886,-20.571194,24.808498,-45.796867,11.4548025,4.316847,11.714463
16,0.050712332129478455,1.9386388063430786,66.2952880859375,1.0661897027164247,-0.9520871934847946,-92.82996961135991,2.1689038,4.0012097,5.5947537,6.740187,-6.9743066,0.0,3.069431,-4.920165,-9.855395,6.671689,-11.344411,0.0,-3.3453047,4.416391,-1.3770161,2.201737,-1.836632,11.076534,21.573475,-36.529575,-52.601402,-13.1614275,7.2327824,-12.210748,5.367886,-20.571194,24.808498,-45.796867,11.4548025,4.316847,11.714463
17,0.05072060227394104,1.9386932849884033,66.29529571533203,1.0661794594961815,-0.9521083271738705,-92.82996972289523,2.168964,4.0011334,5.595189,6.740212,-6.9750314,0.0,3.069451,-4.9201493,-9.85539,6.671527,-11.34425,0.0,-3.3453085,4.4163985,-1.3770174,2.2017372,-1.836632,11.076532,21.573545,-36.529583,-52.60141,-13.161427,7.23278,-12.210748,5.3678846,-20.571272,24.808504,-45.796875,11.454801,4.3168454,11.714465
18,0.050781626254320145,1.9389758110046387,66.29539489746094,1.0661353101090627,-0.952207097847402,-92.82997498474829,2.1689067,4.001291,5.5958204,6.7401524,-6.975535,0.0,3.0691748,-4.9201713,-9.85537,6.6718388,-11.344182,0.0,-3.3453207,4.4164286,-1.3770173,2.2017376,-1.8366323,11.076528,21.57383,-36.529613,-52.601433,-13.161423,7.2327676,-12.210748,5.3678794,-20.571589,24.808529,-45.796898,11.454788,4.3168387,11.714471
19,0.05040161684155464,1.9422533512115479,66.29566192626953,1.0661033331960674,-0.9533031726472115,-92.82999010262354,2.167705,4.001698,5.5964413,6.7387624,-6.9724417,0.0,3.067573,-4.9196672,-9.855453,6.6709228,-11.340692,0.0,-3.3454251,4.4168043,-1.3769594,2.2017426,-1.8366358,11.076465,21.577229,-36.529995,-52.60173,-13.161379,7.2326226,-12.210748,5.367819,-20.575361,24.808817,-45.7972,11.45465,4.3167644,11.714537
20,0.05033190920948982,1.9433048963546753,66.29592895507812,1.0661284043342842,-0.953653226412819,-92.82999851582451,2.167138,4.001907,5.596684,6.7387547,-6.971862,0.0,3.0673141,-4.919535,-9.855493,6.670195,-11.339393,0.0,-3.345455,4.4169335,-1.376925,2.2017446,-1.8366369,11.076445,21.578362,-36.530125,-52.60183,-13.161364,7.232574,-12.210748,5.367799,-20.576618,24.808914,-45.7973,11.454605,4.3167396,11.71456
21,0.05121256783604622,1.9447439908981323,66.29651641845703,1.0659762916177768,-0.9542126040087509,-92.83006534435177,2.1665041,4.001695,5.5965443,6.738295,-6.97028,0.0,3.0662045,-4.920116,-9.855393,6.670293,-11.337724,0.0,-3.3455293,4.417202,-1.3768357,2.201748,-1.8366393,11.076407,21.580622,-36.530388,-52.602028,-13.161337,7.2324777,-12.210748,5.367759,-20.579123,24.809113,-45.797497,11.454514,4.316689,11.714605
22,0.05123172327876091,1.944739580154419,66.29618072509766,1.0659785429587267,-0.9542159660998756,-92.83006539437955,2.1668713,4.0013866,5.596015,6.7374864,-6.9696207,0.0,3.0666454,-4.9200926,-9.855414,6.669483,-11.337323,0.0,-3.3455293,4.417202,-1.3768357,2.201748,-1.8366393,11.076407,21.580622,-36.530388,-52.602028,-13.161337,7.2324777,-12.210748,5.367759,-20.579123,24.809113,-45.797497,11.454514,4.316689,11.714605
23,0.05269136652350426,1.948499083518982,66.29638671875,1.0660408599965672,-0.9556337593423806,-92.83043689531051,2.1645699,4.000463,5.595782,6.737868,-6.966037,0.0,3.064634,-4.92129,-9.8551,6.66866,-11.332968,0.0,-3.345827,4.417864,-1.3766237,2.2017553,-1.8366444,11.076338,21.585697,-36.531006,-52.60246,-13.161286,7.232265,-12.210748,5.3676744,-20.584724,24.809568,-45.797955,11.454307,4.316573,11.714714
24,0.05270791053771973,1.9484994411468506,66.29621124267578,1.0660422677321169,-0.9556338282457518,-92.83043690769266,2.164344,4.0001273,5.5953546,6.7376957,-6.9652715,0.0,3.0646617,-4.921312,-9.8551,6.6686406,-11.332973,0.0,-3.345827,4.417864,-1.3766237,2.2017553,-1.8366444,11.076338,21.585697,-36.531006,-52.60246,-13.161286,7.232265,-12.210748,5.3676744,-20.584724,24.809568,-45.797955,11.454307,4.316573,11.714714
25,0.05084395036101341,1.9518239498138428,66.29618835449219,1.0667722543366875,-0.9569055887230938,-92.83069203181483,2.1628995,4.000886,5.5953307,6.737279,-6.9614353,0.0,3.0630293,-4.9203897,-9.855072,6.668657,-11.330436,0.0,-3.3460727,4.4185367,-1.3763773,2.201762,-1.8366488,11.076287,21.590193,-36.53157,-52.602844,-13.161245,7.232076,-12.210748,5.367597,-20.589674,24.80999,-45.798374,11.45413,4.316462,11.714816
26,0.050136860460042953,1.9527305364608765,66.29646301269531,1.0670632365699366,-0.9572808715389772,-92.83073187591788,2.1627126,4.0011916,5.595324,6.7363462,-6.9591966,0.0,3.0629323,-4.919978,-9.855121,6.6680737,-11.32951,0.0,-3.3461273,4.4187665,-1.3762746,2.201764,-1.8366501,11.076274,21.5916,-36.53175,-52.602962,-13.161233,7.2320175,-12.210748,5.3675723,-20.59122,24.810127,-45.798508,11.454078,4.316426,11.714849
27,0.04968472570180893,1.953289270401001,66.29642486572266,1.0672688350773047,-0.9575293309619597,-92.83074085546023,2.1626155,4.0013404,5.5953684,6.73542,-6.9572315,0.0,3.063131,-4.9197106,-9.855206,6.6668944,-11.328339,0.0,-3.346146,4.4189153,-1.3761984,2.2017653,-1.836651,11.076266,21.592443,-36.53186,-52.603035,-13.161224,7.2319813,-12.210748,5.3675566,-20.592148,24.81021,-45.798588,11.454048,4.316403,11.71487
28,0.04972884804010391,1.954071283340454,66.29667663574219,1.0674177800402271,-0.9578825791552811,-92.83075504818142,2.1622193,4.0015693,5.595388,6.7354817,-6.9561777,0.0,3.0626013,-4.9199014,-9.855206,6.6670165,-11.327585,0.0,-3.3461604,4.4191256,-1.3760753,2.201767,-1.836652,11.076257,21.593565,-36.532005,-52.60313,-13.161215,7.2319336,-12.210748,5.3675346,-20.59338,24.810324,-45.798702,11.454009,4.3163705,11.714898
29,0.04905664920806885,1.9573864936828613,66.29676055908203,1.0682330657641967,-0.9593696552394307,-92.83080541311939,2.1604183,4.0015106,5.595435,6.73582,-6.9533315,0.0,3.0607955,-4.920126,-9.855247,6.667428,-11.324883,0.0,-3.3462267,4.420023,-1.3755001,2.2017744,-1.8366568,11.076218,21.598171,-36.53261,-52.60353,-13.161175,7.231733,-12.210748,5.3674393,-20.598425,24.810799,-45.799168,11.453846,4.3162317,11.715017
30,0.04891984909772873,1.9587010145187378,66.29724884033203,1.0686014332850873,-0.9600733022092958,-92.83086358357713,2.1600034,4.001491,5.595566,6.7352214,-6.9520254,0.0,3.060391,-4.9203076,-9.855257,6.66714,-11.323536,0.0,-3.3462772,4.420466,-1.3751801,2.2017777,-1.836659,11.076198,21.600405,-36.532906,-52.603725,-13.161157,7.2316346,-12.210748,5.367391,-20.600866,24.81103,-45.7994,11.453764,4.316162,11.715077
31,0.04815837740898132,1.9611824750900269,66.29745483398438,1.0695393674451503,-0.9615402154765866,-92.83102081165967,2.164092,4.0009637,5.596116,6.7246885,-6.9441514,0.0,3.06457,-4.919705,-9.855677,6.6570177,-11.316019,0.0,-3.3464172,4.4213696,-1.3744704,2.2017848,-1.8366631,11.076158,21.604855,-36.533504,-52.604122,-13.161123,7.231436,-12.210748,5.367288,-20.605713,24.81149,-45.799877,11.453593,4.3160157,11.715199
32,0.04751379415392876,1.9623017311096191,66.2977066040039,1.0700619645457468,-0.962207887276429,-92.83110421829315,2.1584284,4.0013986,5.5958037,6.7356133,-6.9491305,0.0,3.059139,-4.920511,-9.855223,6.6672583,-11.320554,0.0,-3.3465066,4.4218283,-1.3741037,2.2017882,-1.8366653,11.076138,21.607079,-36.533806,-52.60432,-13.161106,7.231335,-12.210748,5.367235,-20.60813,24.811718,-45.800117,11.453505,4.3159394,11.715261
33,0.04659755900502205,1.9642006158828735,66.29753875732422,1.0710809728425952,-0.9636342568967824,-92.83129570457734,2.1585236,4.0011783,5.595996,6.7345433,-6.9460797,0.0,3.0592399,-4.920683,-9.855241,6.6664333,-11.318556,0.0,-3.346728,4.4228415,-1.3733327,2.2017956,-1.83667,11.076097,21.611782,-36.53444,-52.604744,-13.161063,7.231121,-12.210748,5.3671165,-20.613232,24.812202,-45.80064,11.453304,4.31577,11.715394
34,0.04609634727239609,1.9655728340148926,66.29791259765625,1.0715728474410644,-0.9643849935289088,-92.83136999089041,2.1576922,4.0009155,5.596025,6.7352242,-6.944251,0.0,3.0585556,-4.920725,-9.855218,6.6669726,-11.317787,0.0,-3.3468528,4.423338,-1.3729941,2.2017994,-1.8366723,11.076078,21.61399,-36.534733,-52.604946,-13.161038,7.23102,-12.210748,5.3670573,-20.615625,24.81243,-45.80089,11.453205,4.315686,11.715457
35,0.046153321862220764,1.9656034708023071,66.2978286743164,1.0715913363398821,-0.9644072705457669,-92.83137506448892,2.1573696,4.000984,5.5960298,6.7354226,-6.94327,0.0,3.0584507,-4.920809,-9.855217,6.667125,-11.317803,0.0,-3.346857,4.4233537,-1.3729839,2.2017994,-1.8366723,11.076077,21.61406,-36.53474,-52.604954,-13.161037,7.2310166,-12.210748,5.3670554,-20.6157,24.812437,-45.8009,11.453202,4.315684,11.715459
36,0.047008614987134933,1.9677979946136475,66.29813385009766,1.07220722891596,-0.9658428701656013,-92.83139415817023,2.156551,3.9996805,5.5961933,6.735886,-6.9412875,0.0,3.0578542,-4.9221063,-9.855206,6.66681,-11.315366,0.0,-3.3471048,4.424391,-1.3723636,2.2018068,-1.8366771,11.076045,21.618448,-36.53532,-52.605354,-13.1609745,7.2308154,-12.210748,5.3669305,-20.620443,24.812883,-45.80142,11.452985,4.315504,11.715589
37,0.0456564761698246,1.972163438796997,66.2978744506836,1.0733577309987792,-0.9678611731857375,-92.8309500370776,2.154961,3.9995687,5.596052,6.7353954,-6.9378157,0.0,3.056427,-4.921952,-9.855751,6.666017,-11.311377,0.0,-3.3472977,4.425664,-1.3716015,2.2018158,-1.8366828,11.076008,21.62392,-36.536037,-52.605858,-13.160897,7.2305617,-12.210748,5.3667736,-20.626347,24.813437,-45.80207,11.452708,4.3152776,11.715753
