Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
11,-0.05839715152978897,1.8317434787750244,66.39521789550781,-0.5295907017590669,-1.588174232781053,-88.89617078376487,3.955176,1.2917088,16.851854,7.332915,-10.561436,0.0,3.9946449,-2.3644674,-10.504812,8.410058,-10.180745,0.0,-4.147801,5.4677734,0.06773228,4.0554223,-9.34194,6.8134513,23.152224,-39.40989,-58.03405,-10.726684,7.810944,-12.210748,4.594179,-22.910225,33.074104,-52.87721,-4.456433,11.043402,17.654913
12,-0.053374383598566055,1.8333457708358765,66.38677978515625,-0.5341379337141423,-1.6879571138941083,-88.98813195519803,4.0502014,1.2952081,16.934895,7.393127,-10.62636,0.0,3.9617329,-2.385287,-10.401727,8.640109,-10.292821,0.0,-4.106179,5.693543,0.051094703,4.1220455,-9.849097,6.5207024,23.521763,-40.29128,-58.55376,-11.433546,7.9876447,-12.210748,4.22524,-23.282146,34.213093,-53.947414,-3.9710975,11.005766,17.352839
13,-0.05279283598065376,1.8370343446731567,66.37908172607422,-0.538656786353993,-1.7968041075943597,-89.09022055729253,4.158992,1.299623,17.026905,7.4434466,-10.684562,0.0,3.926687,-2.4050438,-10.293692,8.883695,-10.407487,0.0,-4.070955,5.959091,0.02513494,4.1713557,-10.285504,6.091878,23.814545,-41.097496,-58.95047,-12.442265,8.12505,-12.210748,3.7737586,-23.574305,35.24468,-55.092403,-3.1989217,10.972134,17.081997
14,-0.04967910796403885,1.8518943786621094,66.37004852294922,-0.541306863629546,-1.9150450653035764,-89.20306948664715,4.273035,1.2997705,17.129408,7.4894557,-10.735991,0.0,3.865077,-2.4325724,-10.177681,9.181332,-10.539492,0.0,-4.0378375,6.2594686,-0.006916935,4.2107134,-10.691543,5.571115,24.059402,-41.876698,-59.26425,-13.757522,8.215802,-12.210748,3.2638223,-23.817448,36.214058,-56.306026,-2.123308,10.918552,16.875168
15,-0.053669385612010956,1.8622560501098633,66.36271667480469,-0.5446316837288034,-2.0145089115747856,-89.32357370379897,4.379895,1.3026159,17.23887,7.519846,-10.781155,0.0,3.8058815,-2.4513986,-10.055839,9.433874,-10.649097,0.0,-4.0043106,6.559895,-0.039060924,4.245479,-11.092523,4.9809623,24.27407,-42.611397,-59.591545,-15.198833,8.336247,-12.210748,2.7259176,-24.029995,37.12564,-57.608913,-0.831089,10.854144,16.647493
16,-0.05445291846990585,1.882322072982788,66.35595703125,-0.5484965273286493,-2.0667276706754443,-89.4487148963281,4.43202,1.3041446,17.353561,7.552587,-10.821009,0.0,3.6994317,-2.4702668,-9.927749,9.668852,-10.7417965,0.0,-3.9682279,6.8257656,-0.065205224,4.2799263,-11.504478,4.3577576,24.46971,-43.248993,-60.036446,-16.597853,8.568275,-12.210748,2.196565,-24.223753,37.959698,-59.020172,0.608712,10.7924595,16.30948
17,-0.04693300649523735,1.901969313621521,66.35040283203125,-0.5517189868173714,-2.0668716322205,-89.5795592054208,4.436201,1.2983793,17.474537,7.5788503,-10.858646,0.0,3.5659492,-2.4897244,-9.79064,9.845774,-10.802598,0.0,-3.9284923,7.051982,-0.08347818,4.3182883,-11.939871,3.7153716,24.655258,-43.75842,-60.644604,-17.977964,8.96349,-12.210748,1.6889174,-24.406996,38.70598,-60.58915,2.3166032,10.750347,15.86124
18,-0.0489591509103775,1.9115349054336548,66.34688568115234,-0.5551453001640828,-2.0290766028694187,-89.71705293494948,4.4101567,1.2987864,17.601294,7.605796,-10.901217,0.0,3.4260368,-2.4982798,-9.646533,9.963508,-10.838266,0.0,-3.8869593,7.2555814,-0.09709709,4.362426,-12.405508,3.0828466,24.837095,-44.144554,-61.414284,-19.419994,9.488667,-12.210748,1.2181605,-24.585732,39.368984,-62.32747,4.303608,10.736471,15.34477
19,-0.049742769449949265,1.9308977127075195,66.34406280517578,-0.5603981522634761,-1.9530132829444713,-89.85807962199424,4.3451653,1.298234,17.732054,7.6202016,-10.930507,0.0,3.2446241,-2.505221,-9.499771,10.072585,-10.861663,0.0,-3.8456113,7.4350924,-0.10767406,4.4109507,-12.899323,2.5198495,25.01848,-44.40007,-62.379173,-20.854038,10.098248,-12.210748,0.81799203,-24.764704,39.94119,-64.19704,6.334272,10.753042,14.728098
20,-0.05131663754582405,1.9423505067825317,66.34270477294922,-0.5670826169470042,-1.8382720266500452,-89.99950489448713,4.249342,1.2991805,17.863049,7.6311045,-10.963492,0.0,3.047277,-2.5068264,-9.356672,10.145356,-10.8699875,0.0,-3.8062897,7.588729,-0.116737135,4.4604154,-13.413163,2.0866427,25.201271,-44.50787,-63.57309,-22.2082,10.747938,-12.210748,0.5204553,-24.94796,40.409653,-66.17332,8.151434,10.798456,13.968953
