Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
12,1.2218090295791626,3.67502760887146,105.73518371582031,1.0650433084443427,-0.47463134501219567,-85.68146480188437,-2.1247187,-1.3076171,1.960427,-4.9533963,-4.3179116,19.032154,21.218033,0.08534773,59.129677,-6.7257614,-0.14293376,-11.789794,20.111082,-21.98316,15.7941475,44.87524,18.925034,12.921927,4.4637594,2.2608664,-0.15132858,24.804388,9.687616,-12.225794,0.0,5.206823,-4.707141,-28.512518,6.0573163,-8.772887,0.0
13,1.254722237586975,3.699113368988037,105.73692321777344,1.0508263679265601,-0.4772774968171364,-85.69067125373434,-2.1167054,-1.3386488,1.9684632,-4.9535527,-4.317971,19.04976,21.29772,0.11018381,59.135372,-6.729299,-0.14164172,-11.782168,20.12724,-22.047935,15.787123,44.877068,18.927565,12.921339,4.4617243,2.2287204,-0.14662091,24.806084,9.735624,-12.247341,0.0,5.205675,-4.7071724,-28.507956,6.029164,-8.730707,0.0
14,1.2878271341323853,3.7278451919555664,105.70789337158203,1.124323992364441,-0.41631001684751406,-85.74790730589375,-2.047976,-1.5451857,1.9349619,-5.170388,-4.405603,19.110216,21.842516,1.2043116,59.7239,-6.7541733,-0.43022496,-11.313962,20.191584,-22.50088,15.562201,44.982834,19.477217,12.676314,4.4929247,2.027506,-0.21140009,24.797216,9.983276,-12.370892,0.0,4.581075,-5.113469,-28.262257,7.1406026,-9.218699,0.0
15,1.3124948740005493,3.742231845855713,105.70707702636719,1.1096645000587995,-0.42050683290977,-85.74834411297361,-2.0453012,-1.553775,1.9390996,-5.1704483,-4.405628,19.118645,21.873283,1.2146964,59.72522,-6.7549405,-0.43001723,-11.3125305,20.20075,-22.52686,15.559322,44.98356,19.477482,12.67623,4.492314,1.9883102,-0.19409819,24.789413,10.059555,-12.408483,0.0,4.5672812,-5.1184464,-28.259045,7.158807,-9.207207,0.0
16,1.3433268070220947,3.7633936405181885,105.70916748046875,1.0893672594261656,-0.42189894822172935,-85.75169726267495,-2.0376463,-1.5780383,1.951354,-5.170581,-4.405688,19.133093,21.934135,1.2405978,59.729263,-6.7579746,-0.42921662,-11.306946,20.216564,-22.576767,15.550945,44.98601,19.478468,12.675937,4.490092,1.950357,-0.1780392,24.785057,10.117808,-12.434336,0.0,4.577238,-5.1036754,-28.2632,7.1070404,-9.153872,0.0
17,1.3751623630523682,3.7982683181762695,105.68360900878906,1.1113194962829516,-0.32602325592350234,-85.78290123545082,-2.002063,-1.7184792,1.8985978,-5.3497567,-4.5058985,19.185064,22.36142,2.4938874,60.1856,-6.555211,-0.65748274,-11.018545,20.276842,-22.923965,15.159509,45.21087,19.63544,12.436904,4.569249,1.6228527,-0.14082193,24.7205,10.523788,-12.6157875,0.0,4.051748,-5.3619723,-28.071638,7.9031005,-9.483075,0.0
18,1.4091432094573975,3.8159258365631104,105.68292236328125,1.0933150539923198,-0.32833121194797416,-85.78220163326927,-2.0013757,-1.7337042,1.9057821,-5.349854,-4.505961,19.197512,22.409672,2.5173454,60.18813,-6.556773,-0.6571237,-11.015297,20.291904,-22.963099,15.150802,45.212875,19.63597,12.436964,4.568007,1.5753574,-0.123625815,24.710445,10.608593,-12.657249,0.0,4.0379176,-5.3664293,-28.069904,7.9117894,-9.460323,0.0
19,1.44083571434021,3.856778860092163,105.66041564941406,1.108783326632926,-0.2339900558916705,-85.78288758965174,-2.010689,-1.8507167,1.8497962,-5.476049,-4.611681,19.244083,22.759674,3.777759,60.53888,-6.125837,-0.8373944,-10.932619,20.348665,-23.242569,14.667941,45.4298,19.58248,12.304724,4.7749763,1.251861,-0.08283967,24.622896,10.989965,-12.817666,0.0,3.5794747,-5.5794206,-27.9291,8.5717,-9.72236,0.0
20,1.4743934869766235,3.8961551189422607,105.64622497558594,1.1045064250052268,-0.17616279485683872,-85.7819885750028,-2.0200782,-1.9185747,1.8250204,-5.5623918,-4.70517,19.28829,23.047388,4.880654,60.748135,-5.5299315,-0.9504721,-11.139534,20.4039,-23.472029,14.208618,45.556606,19.394096,12.250998,5.0694337,1.0154225,-0.037202597,24.561712,11.285644,-12.941469,0.0,3.290962,-5.7015777,-27.842909,8.969739,-9.862875,0.0
21,1.508474588394165,3.935295820236206,105.63331604003906,1.0975903110714103,-0.11000905654255587,-85.78134461225605,-2.0299768,-1.9847453,1.8014213,-5.625529,-4.7961483,19.33031,23.296337,5.8769855,60.914627,-4.9589167,-1.0404897,-11.256307,20.45719,-23.667559,13.753787,45.692722,19.193462,12.190729,5.3485312,0.77512085,0.008365768,24.500704,11.566626,-13.055784,0.0,3.002962,-5.8139086,-27.758297,9.3415985,-9.986988,0.0
22,1.5466521978378296,3.9763383865356445,105.61843872070312,1.089848132538935,-0.0355442256868665,-85.78001004373601,-2.0416474,-2.051029,1.7766716,-5.674979,-4.889672,19.370321,23.521263,6.798096,61.05464,-4.4153895,-1.1180602,-11.287107,20.508171,-23.840239,13.293064,45.8504,18.98173,12.114483,5.619968,0.51257867,0.057135165,24.43416,11.86998,-13.1794815,0.0,2.6939158,-5.9318314,-27.668821,9.731212,-10.114363,0.0
