Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
12,0.7516887784004211,-0.8531562089920044,104.48541259765625,5.065286021981941,5.652737869190393,-108.39114332488685,-4.740729,-8.336085,3.7623181,8.606585,-19.993587,26.378857,27.67323,-15.504199,20.330288,12.291436,1.3025041,2.3476043,26.74484,-31.00502,31.178658,28.799017,1.4548131,-0.6758437,-13.82139,10.232296,-14.967133,23.720474,5.1558948,-14.402606,0.0,-39.142776,-16.346468,15.505772,79.1874,-0.5011585,0.0
13,0.7648865580558777,-1.1895800828933716,104.32830047607422,5.010548405482375,5.655240798201251,-108.2568281626941,-5.0515447,-8.349631,3.9019687,8.585237,-20.08466,26.3328,27.890781,-15.551549,19.038769,12.684138,1.348917,2.3152254,26.822414,-30.955925,31.101616,28.786224,1.6969187,-0.6920201,-13.93951,10.631378,-15.024038,23.55712,4.8757095,-14.645933,0.0,-40.263138,-15.316963,15.738849,79.67465,-1.6662376,0.0
14,0.743962287902832,-1.517968773841858,104.17052459716797,4.887704527200354,5.695782720336581,-108.09464581330501,-5.3578343,-8.279944,4.019254,8.535127,-20.167725,26.177275,28.330507,-15.64599,17.718224,13.032722,1.4023013,2.2795715,27.031164,-30.810204,30.941784,28.791735,2.0114214,-0.7766272,-14.065547,10.752004,-14.868461,23.326265,5.1784472,-15.148106,0.0,-41.341858,-14.23764,15.735239,79.87748,-2.6250424,0.0
15,0.738028347492218,-1.8868162631988525,104.03302001953125,4.745747950619952,5.7389892568145715,-107.92719521115502,-5.6514225,-8.179402,4.1432176,8.369675,-20.30933,25.86372,28.911818,-15.990141,16.55139,12.85986,1.4831243,2.288354,27.377903,-30.549017,30.4713,28.68531,1.9416865,-0.856479,-14.138356,11.0543165,-14.763888,23.090868,5.0994105,-15.437743,0.0,-42.358253,-13.192345,15.55062,79.81204,-3.449372,0.0
16,0.7440681457519531,-2.276975393295288,103.90552520751953,4.6126376306404655,5.784336716768064,-107.76955339370275,-5.9330277,-8.083919,4.265551,8.263063,-20.328995,25.508718,29.254436,-16.172325,15.560003,13.153418,1.4858699,2.3077486,27.697449,-30.352512,30.14831,28.65639,1.9984972,-0.9124786,-14.191829,11.246442,-14.622952,22.894548,5.2295747,-15.81007,0.0,-43.327682,-12.234588,15.225594,79.49478,-4.1988378,0.0
17,0.73873370885849,-2.683021068572998,103.78502655029297,4.503440259400361,5.820877464310147,-107.62452741468346,-6.2046475,-8.010631,4.395666,8.158049,-20.322838,25.110239,29.505928,-16.29596,14.690369,13.587009,1.4733784,2.326547,27.992838,-30.188484,29.85336,28.680286,1.9867082,-0.933928,-14.184496,11.574013,-14.571345,22.754663,5.046353,-16.00983,0.0,-44.243736,-11.403638,14.734405,78.91556,-4.888681,0.0
18,0.7147737741470337,-3.0884861946105957,103.67274475097656,4.395042652034619,5.859113208151601,-107.4805991950044,-6.4702897,-7.932761,4.526893,8.047794,-20.29489,24.668194,29.717329,-16.393507,13.91235,14.094445,1.4468892,2.3539348,28.268778,-30.034912,29.568249,28.758217,1.9373704,-0.9406979,-14.127917,11.708132,-14.432083,22.638737,5.257047,-16.38018,0.0,-45.10744,-10.663484,14.064059,78.06386,-5.481871,0.0
19,0.6953479051589966,-3.5065765380859375,103.57096099853516,4.278100846918699,5.906102975218122,-107.34771686909254,-6.7117877,-7.839519,4.6559887,7.9403505,-20.253506,24.184828,29.902784,-16.475927,13.182443,14.618824,1.4373319,2.3581605,28.530245,-29.887684,29.315197,28.86529,1.8920892,-0.927671,-14.06335,12.173427,-14.430734,22.545895,4.7371616,-16.368023,0.0,-45.905895,-9.961414,13.288395,76.95327,-5.967128,0.0
20,0.6592154502868652,-3.9317712783813477,103.48179626464844,4.1384214499480265,5.973262561735264,-107.22781505029481,-6.9193025,-7.713514,4.7748485,7.847134,-20.209024,23.666637,30.062643,-16.537544,12.432019,15.131546,1.4842252,2.301443,28.781145,-29.752316,29.12622,28.98183,1.9118892,-0.8925566,-14.033461,12.167032,-14.202626,22.45301,5.2136235,-16.825834,0.0,-46.635902,-9.242244,12.473787,75.60277,-6.3333035,0.0
21,0.6253060102462769,-4.371133327484131,103.40169525146484,3.9695451735656255,6.075235597308466,-107.11929907730945,-7.079152,-7.5431223,4.8698792,7.750543,-20.15354,22.957182,30.21071,-16.678087,11.857584,15.5421915,1.5860558,2.1717994,29.098705,-29.612518,28.939692,29.01442,1.9505864,-0.79387623,-14.0642605,12.335837,-14.026401,22.362017,5.250436,-17.030273,0.0,-47.309612,-8.498373,11.598309,73.997215,-6.583152,0.0
22,0.572330892086029,-4.832544803619385,103.32421875,3.783885678302342,6.191986888038601,-107.02249402836424,-7.2015324,-7.3442526,4.9586067,7.6633983,-20.089567,22.381887,30.30735,-16.71751,11.118762,16.028902,1.7651643,1.9874802,29.342167,-29.509995,28.857138,29.106426,2.1127195,-0.6622484,-14.117263,12.762374,-13.944445,22.285706,4.717563,-16.928179,0.0,-47.902355,-7.7600684,10.631311,72.12566,-6.724295,0.0
23,0.5196751356124878,-5.30308198928833,103.25503540039062,3.576671931486268,6.325195805487949,-106.94269483119255,-7.3078785,-7.1198516,5.0397882,7.5941105,-20.023848,21.774073,30.391602,-16.741745,10.407609,16.484453,1.9370496,1.7763884,29.588638,-29.415493,28.814445,29.196589,2.2641034,-0.537185,-14.179102,12.68702,-13.627368,22.21379,5.2362337,-17.329176,0.0,-48.403133,-6.998027,9.62445,70.00147,-6.732577,0.0
24,0.468392014503479,-5.781677722930908,103.19029998779297,3.3528500358372866,6.461620780446071,-106.89575729059091,-7.4104323,-6.884756,5.1266894,7.5590444,-19.965681,21.140715,30.454988,-16.753609,9.744301,16.90043,2.0427606,1.5798569,29.832321,-29.349339,28.81759,29.282433,2.3651175,-0.46654892,-14.223101,13.268519,-13.578338,22.189154,4.3565016,-17.04434,0.0,-48.782528,-6.187904,8.650859,67.63276,-6.585554,0.0
25,0.40279442071914673,-6.2747111320495605,103.1258544921875,3.0950260926271977,6.607716973840957,-106.89286972023562,-7.5139523,-6.6202335,5.2145123,7.568012,-19.913572,20.307503,30.478539,-16.805975,9.296836,17.24888,2.0550723,1.3798642,30.131153,-29.327564,28.85903,29.319927,2.4192011,-0.48561597,-14.275059,13.085659,-13.175426,22.180183,5.1149244,-17.571695,0.0,-49.034275,-5.293388,7.709957,64.98388,-6.249157,0.0
26,0.34164050221443176,-6.780996322631836,103.05856323242188,2.8101467419148567,6.762614866522013,-106.92737693011864,-7.60944,-6.330697,5.302167,7.611574,-19.861588,19.538612,30.459797,-16.795013,8.819128,17.605524,2.0188766,1.1835175,30.38771,-29.352,28.977575,29.38673,2.4865124,-0.5630625,-14.319468,13.228887,-12.890391,22.211966,5.1699066,-17.74787,0.0,-49.160473,-4.3307905,6.782558,62.047203,-5.739368,0.0
27,0.26957279443740845,-7.304929733276367,102.981689453125,2.5237430748365495,6.923316129164778,-106.96818641941238,-7.7042804,-6.0425506,5.3903275,7.675184,-19.820707,18.883915,30.437138,-16.727251,8.241909,17.950813,1.9619054,1.0151627,30.59193,-29.39566,29.144924,29.478968,2.5063434,-0.64100087,-14.320765,13.406914,-12.618871,22.255312,5.1554165,-17.889746,0.0,-49.172623,-3.3466108,5.897034,58.869125,-5.0962853,0.0
28,0.18764278292655945,-7.843548774719238,102.89952850341797,2.2621487544463807,7.087588759068073,-106.98421213738098,-7.8045545,-5.782375,5.480152,7.7411804,-19.799059,18.159477,30.421549,-16.706614,7.6849837,18.2362,1.9272381,0.88708,30.80394,-29.456951,29.304323,29.527302,2.4115903,-0.66518414,-14.246363,13.613856,-12.379717,22.288982,5.09118,-18.010778,0.0,-49.084843,-2.3906713,5.083308,55.49541,-4.3593345,0.0
29,0.11337800323963165,-8.39041519165039,102.80730438232422,2.021421538922953,7.257845906817611,-106.97670004517511,-7.9098735,-5.5483265,5.5715404,7.8244143,-19.797752,17.302023,30.412123,-16.80603,7.3148575,18.404995,1.8091059,0.87509906,31.038704,-29.544497,29.441013,29.459772,2.1322017,-0.5621269,-14.059548,13.776463,-12.139453,22.316824,5.118659,-18.18258,0.0,-48.877556,-1.4498053,4.349664,51.864567,-3.5070398,0.0
30,0.011527631431818008,-8.942506790161133,102.70735931396484,1.7925716694754867,7.433499824284614,-106.9604632803608,-8.016256,-5.3310537,5.664986,7.925718,-19.810644,16.574053,30.420116,-16.867565,6.7804074,18.54539,1.7128344,0.9125668,31.225315,-29.635216,29.597198,29.407381,1.7201151,-0.41507426,-13.774699,14.032141,-11.950341,22.35302,4.9489307,-18.261976,0.0,-48.531895,-0.50704527,3.6930237,47.934803,-2.5066817,0.0
31,-0.09847474098205566,-9.500858306884766,102.59239959716797,1.5934674948626397,7.610448250192292,-106.91809220855629,-8.12981,-5.142425,5.7584085,8.015068,-19.843573,15.7189455,30.442175,-17.014093,6.360791,18.607853,1.6169856,0.98555183,31.43244,-29.745028,29.738031,29.307735,1.2760898,-0.25414482,-13.467318,14.276993,-11.777327,22.369793,4.828702,-18.363106,0.0,-48.07121,0.39171058,3.1163208,43.78742,-1.3874862,0.0
32,-0.215109720826149,-10.069896697998047,102.4621353149414,1.4401178598649977,7.783644331076004,-106.83076859549361,-8.259621,-4.993573,5.849275,8.063086,-19.897297,14.999692,30.485384,-17.136864,5.826064,18.67668,1.5575217,1.0728972,31.601316,-29.824999,29.863703,29.256493,0.8942057,-0.13147934,-13.190445,14.351103,-11.558974,22.33335,5.1162972,-18.650574,0.0,-47.512386,1.2019334,2.6124358,39.494934,-0.17271812,0.0
33,-0.3436911404132843,-10.659440040588379,102.31106567382812,1.3415318250446089,7.956064078272914,-106.68902456501009,-8.403672,-4.8910956,5.9378757,8.05841,-19.984488,14.340635,30.560026,-17.284365,5.216602,18.713816,1.5590768,1.1837711,31.75449,-29.881527,29.96404,29.229786,0.5808944,-0.048589084,-12.960286,14.580601,-11.445675,22.261824,5.1021447,-18.77028,0.0,-46.806038,1.9167011,2.1633015,34.9096,1.2548417,0.0
34,-0.4763643741607666,-11.272879600524902,102.14525604248047,1.290372949118881,8.126089548328311,-106.50242517815116,-8.559429,-4.8309507,6.0272307,8.01756,-20.100168,13.613197,30.668743,-17.513666,4.6517787,18.673708,1.596348,1.3294197,31.923578,-29.927202,30.033659,29.184772,0.281681,0.018675426,-12.749646,15.128228,-11.500296,22.175587,4.4430914,-18.560907,0.0,-45.879868,2.5524406,1.7686799,29.892302,2.9444575,0.0
35,-0.6138591766357422,-11.910954475402832,101.962158203125,1.2812690277439485,8.278696501310927,-106.2822749303073,-8.733472,-4.810698,6.1229215,7.953472,-20.220568,12.951793,30.789135,-17.731276,4.069474,18.637793,1.6240457,1.4735376,32.079117,-29.953543,30.087542,29.161577,0.02146395,0.058788244,-12.55394,15.411239,-11.459897,22.03018,4.433032,-18.666786,0.0,-44.70969,3.0973747,1.4368701,24.525188,4.7744136,0.0
36,-0.7468531727790833,-12.561895370483398,101.75074005126953,1.3135905461994652,8.392235900518369,-106.04214256194311,-8.929351,-4.835105,6.2367506,7.8779764,-20.32462,12.290042,30.924253,-17.940756,3.5821795,18.60831,1.5893048,1.5871793,32.237602,-29.967648,30.129818,29.15336,-0.1766554,0.06382895,-12.380603,15.77615,-11.462577,21.841623,4.4030204,-18.772272,0.0,-43.264412,3.533374,1.1680268,18.894257,6.621702,0.0
