Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
12,0.07660768181085587,3.1540334224700928,105.96726989746094,1.0938964731960559,-1.0522812730389124,-92.8293580473131,-3.2567797,-1.3912286,4.2489243,2.5801685,-1.8549902,19.853586,23.36827,-13.156421,44.607933,24.958235,-7.358416,-6.1807218,16.231014,-20.590021,9.437614,48.119125,-19.980373,-9.242076,-4.368916,3.0413027,5.027402,6.5034375,5.551143,-6.261695,0.0,3.4861505,-6.2882247,-10.914105,5.2624426,-9.776798,0.0
13,0.07707064598798752,3.163037061691284,105.96559143066406,1.094735162398197,-1.0547894750599147,-92.82912473348019,-3.2579725,-1.3924963,4.251566,2.580195,-1.8550061,19.858128,23.388773,-13.157574,44.606117,24.95725,-7.3596606,-6.180726,16.234985,-20.62068,9.438326,48.117725,-19.979563,-9.243097,-4.368504,3.023458,5.0280004,6.4973736,5.579652,-6.2709875,0.0,3.4830477,-6.2895455,-10.913509,5.2624335,-9.771341,0.0
14,0.07712703943252563,3.1631815433502197,105.966064453125,1.094732269357491,-1.0548372507966242,-92.8291251633177,-3.2579856,-1.3925066,4.2515883,2.5801952,-1.8550063,19.858166,23.388939,-13.157583,44.606106,24.957243,-7.35967,-6.180726,16.23502,-20.620924,9.438332,48.117714,-19.979555,-9.243106,-4.3685007,3.0373306,5.0262213,6.502198,5.5533276,-6.2583623,0.0,3.4830182,-6.2895474,-10.913506,5.262253,-9.771078,0.0
15,0.08138616383075714,3.1628825664520264,105.96688079833984,1.0931269729418258,-1.055111568681591,-92.8292286512386,-3.2585084,-1.3927821,4.2523665,2.580202,-1.855011,19.859411,23.394331,-13.157896,44.605633,24.956997,-7.359992,-6.180731,16.236095,-20.628887,9.4385195,48.117332,-19.97931,-9.243396,-4.368382,3.0343928,5.025874,6.5014353,5.559402,-6.262421,0.0,3.4862595,-6.289821,-10.914334,5.257111,-9.76857,0.0
16,0.0813867449760437,3.1629018783569336,105.96648406982422,1.0931361438625418,-1.0550596672586576,-92.82924755506743,-3.2585084,-1.3927821,4.2523665,2.580202,-1.855011,19.859411,23.394331,-13.157896,44.605633,24.956997,-7.359992,-6.180731,16.236095,-20.628887,9.4385195,48.117332,-19.97931,-9.243396,-4.368382,3.0331793,5.0260344,6.50119,5.5615993,-6.264243,0.0,3.4832897,-6.2904034,-10.913368,5.262484,-9.77091,0.0
17,0.08147261291742325,3.1635522842407227,105.9663314819336,1.092971841622573,-1.0552697484413778,-92.82925770338638,-3.2585719,-1.3927907,4.2524695,2.580203,-1.8550113,19.859564,23.394987,-13.157935,44.605576,24.956968,-7.360031,-6.1807323,16.236227,-20.629852,9.438544,48.117283,-19.979279,-9.243433,-4.3683667,3.031434,5.0262756,6.5009985,5.564623,-6.2660627,0.0,3.4830558,-6.2902527,-10.913303,5.262373,-9.770377,0.0
18,0.08190721273422241,3.166109800338745,105.9661865234375,1.0925071556648933,-1.0560697482250445,-92.82929991833953,-3.2587838,-1.3927288,4.252914,2.5802066,-1.8550135,19.860218,23.397766,-13.158107,44.605335,24.956842,-7.3601995,-6.1807384,16.236782,-20.633938,9.438655,48.117073,-19.979147,-9.243589,-4.3683014,3.0254939,5.0274253,6.499657,5.574186,-6.269914,0.0,3.482476,-6.2898693,-10.913144,5.261935,-9.768614,0.0
19,0.08033164590597153,3.170311450958252,105.9663314819336,1.0923313772643832,-1.057227045207806,-92.82931922617288,-3.2590714,-1.3924516,4.253768,2.5802133,-1.8550172,19.861443,23.402954,-13.158437,44.604877,24.9566,-7.360516,-6.1807547,16.237822,-20.641563,9.438874,48.116684,-19.978905,-9.243883,-4.3681765,3.0231574,5.028881,6.499464,5.5765595,-6.269422,0.0,3.4807038,-6.288542,-10.912682,5.2623906,-9.76653,0.0
20,0.08024477958679199,3.1717848777770996,105.96671295166016,1.0922450936415335,-1.0576271949991116,-92.8293366116318,-3.2591326,-1.3923506,4.253988,2.580215,-1.855018,19.861755,23.404257,-13.158522,44.604767,24.95654,-7.3605957,-6.1807604,16.238085,-20.643475,9.438932,48.11659,-19.978846,-9.243957,-4.368145,3.0225122,5.029245,6.499517,5.5765224,-6.268704,0.0,3.4802504,-6.288289,-10.912581,5.2619085,-9.765273,0.0
21,0.0836864560842514,3.1745567321777344,105.96826171875,1.091615750397052,-1.0586518078231621,-92.82978527397118,-3.2596922,-1.3914013,4.2557526,2.5802279,-1.8550245,19.86419,23.4145,-13.159233,44.603874,24.956068,-7.3612285,-6.180821,16.240122,-20.658463,9.439413,48.115807,-19.978361,-9.244552,-4.36788,3.0250807,5.0278206,6.5007634,5.570082,-6.263857,0.0,3.4791152,-6.2897596,-10.911873,5.2622223,-9.763172,0.0
22,0.08307823538780212,3.1757466793060303,105.9672622680664,1.0918736938517857,-1.0590266269929742,-92.8298494104154,-3.2597923,-1.3912865,4.2559834,2.5802293,-1.8550253,19.864508,23.415798,-13.1593275,44.603767,24.956013,-7.3613067,-6.1808314,16.240385,-20.660353,9.439475,48.11571,-19.978298,-9.244627,-4.3678455,3.0191863,5.02833,6.4982424,5.580606,-6.268214,0.0,3.4794333,-6.2895913,-10.912,5.261126,-9.76208,0.0
23,0.08419540524482727,3.17878794670105,105.96739196777344,1.091943012529395,-1.0599882601500616,-92.83013951417915,-3.2600803,-1.3910217,4.256536,2.5802326,-1.8550272,19.86523,23.418715,-13.159552,44.603523,24.955894,-7.361481,-6.1808605,16.240982,-20.664585,9.439621,48.115494,-19.978163,-9.244797,-4.367766,3.0135849,5.028393,6.496025,5.589735,-6.2707744,0.0,3.4781396,-6.2904334,-10.91143,5.261409,-9.760098,0.0
24,0.08322929590940475,3.1794533729553223,105.96723937988281,1.092311024214764,-1.0603346649762209,-92.8302576363382,-3.2602358,-1.3908868,4.256829,2.5802345,-1.855028,19.865597,23.420174,-13.159668,44.603405,24.955837,-7.361567,-6.180878,16.241282,-20.666698,9.439698,48.11538,-19.978096,-9.244884,-4.367724,3.0161004,5.027913,6.496598,5.5843287,-6.266979,0.0,3.4781947,-6.2902374,-10.911409,5.2614803,-9.759986,0.0
25,0.07795722037553787,3.1861941814422607,105.96728515625,1.0941251993683656,-1.0624207521574298,-92.83087026096362,-3.2611046,-1.3898399,4.2590613,2.5802472,-1.8550345,19.868126,23.430359,-13.160528,44.602566,24.955437,-7.3621845,-6.181023,16.243326,-20.681427,9.440293,48.114574,-19.977638,-9.245518,-4.367408,3.0217774,5.0283117,6.4989552,5.570451,-6.2554846,0.0,3.475638,-6.2889495,-10.910471,5.262083,-9.756808,0.0
26,0.07672428339719772,3.187235116958618,105.96792602539062,1.0945970042650843,-1.0627647486768077,-92.83092149868105,-3.2611954,-1.3896233,4.259446,2.5802493,-1.8550355,19.868542,23.431969,-13.1606655,44.602436,24.955376,-7.362281,-6.1810484,16.243658,-20.68375,9.440395,48.114445,-19.977571,-9.24562,-4.367355,3.026537,5.0279975,6.5006485,5.5604625,-6.2488923,0.0,3.4756117,-6.288597,-10.910509,5.261492,-9.756005,0.0
27,0.07581501454114914,3.1882669925689697,105.96780395507812,1.0949323429882372,-1.0631253575238624,-92.83093300268342,-3.2612314,-1.3894112,4.2597814,2.580251,-1.8550364,19.868874,23.433254,-13.160779,44.602333,24.955326,-7.3623586,-6.1810713,16.243921,-20.685604,9.440483,48.114338,-19.977524,-9.245704,-4.36731,3.0287228,5.027902,6.5015025,5.555282,-6.2447314,0.0,3.4751198,-6.288435,-10.910394,5.2619405,-9.755732,0.0
28,0.07732149958610535,3.1911652088165283,105.96846008300781,1.095266960662615,-1.0642814261426283,-92.83097660585187,-3.2612846,-1.388414,4.261192,2.5802581,-1.8550394,19.87019,23.438347,-13.161241,44.601925,24.955124,-7.362672,-6.1811676,16.244942,-20.692944,9.44086,48.113895,-19.977339,-9.246052,-4.3671217,3.0281727,5.027009,6.501539,5.554947,-6.242434,0.0,3.4764614,-6.2894206,-10.910934,5.2581844,-9.751854,0.0
29,0.07641495019197464,3.1959147453308105,105.96813201904297,1.0961807066188005,-1.0658878549592867,-92.83099128051722,-3.2613578,-1.3872344,4.2627344,2.5802658,-1.8550426,19.871588,23.44374,-13.161743,44.601486,24.954916,-7.3630095,-6.181275,16.24602,-20.700691,9.441273,48.11341,-19.97714,-9.246434,-4.366913,3.0253882,5.0268292,6.5007453,5.557768,-6.241148,0.0,3.475633,-6.289818,-10.910677,5.2570195,-9.748765,0.0
30,0.07674938440322876,3.198273181915283,105.96894073486328,1.0967038716540367,-1.0669272213922754,-92.83113211604744,-3.2614975,-1.3859991,4.264193,2.580273,-1.8550456,19.872898,23.448801,-13.162226,44.601063,24.954725,-7.3633337,-6.181378,16.247019,-20.70792,9.441666,48.112934,-19.976944,-9.246807,-4.3667097,3.0277605,5.025894,6.5018325,5.5520277,-6.2370677,0.0,3.4727013,-6.291089,-10.909691,5.261755,-9.749371,0.0
31,0.07580721378326416,3.201601266860962,105.96862030029297,1.0976725630516053,-1.068325970891888,-92.83131447612713,-3.2617166,-1.3846251,4.26569,2.58028,-1.8550483,19.874228,23.453928,-13.1627245,44.60063,24.954535,-7.3636694,-6.1814847,16.248022,-20.715204,9.442069,48.11244,-19.97673,-9.247199,-4.366497,3.0270407,5.02559,6.501868,5.5520678,-6.2354083,0.0,3.4720087,-6.291673,-10.909418,5.262135,-9.747829,0.0
32,0.07471928745508194,3.2028934955596924,105.96908569335938,1.098218862901581,-1.0690144756848055,-92.83141826996635,-3.2618625,-1.383932,4.266436,2.5802836,-1.8550498,19.874887,23.456453,-13.162971,44.600414,24.95444,-7.363837,-6.1815376,16.248518,-20.718779,9.442268,48.112186,-19.97662,-9.247398,-4.36639,3.031148,5.0249963,6.5034275,5.54417,-6.2307696,0.0,3.4716582,-6.291632,-10.909287,5.2626257,-9.74743,0.0
33,0.07332714647054672,3.205366849899292,105.9686279296875,1.0992695867786686,-1.0703734152795885,-92.83160599826597,-3.2622206,-1.3825369,4.268028,2.5802913,-1.8550528,19.876238,23.461609,-13.163474,44.59997,24.954233,-7.3641815,-6.1816483,16.249514,-20.726067,9.442686,48.11164,-19.976372,-9.247828,-4.366165,3.0334837,5.0244303,6.5044537,5.539669,-6.2265058,0.0,3.4719772,-6.291953,-10.909343,5.2623534,-9.746238,0.0
34,0.07176608592271805,3.20883846282959,105.96961975097656,1.1002260139542048,-1.07173791826711,-92.8317250841326,-3.2626379,-1.38132,4.2696357,2.5802984,-1.855056,19.877554,23.466566,-13.163951,44.59954,24.954012,-7.3645163,-6.181756,16.25047,-20.733072,9.443095,48.1111,-19.976112,-9.2482605,-4.3659434,3.0415587,5.0230837,6.5074797,5.5232263,-6.215336,0.0,3.4713097,-6.291958,-10.909177,5.2617745,-9.743887,0.0
