Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
12,1.2047029733657837,3.3244471549987793,105.7956314086914,0.9510944049178779,-1.4370898855231038,-114.43664860713957,-0.10576233,-0.3844487,6.3029575,13.733085,-16.489897,25.898998,25.967756,-17.415659,26.95192,5.8236012,0.17612551,4.4111924,20.506447,-31.98429,41.605682,17.74667,18.90683,5.604038,-12.144572,-5.3601813,9.24872,24.858322,11.179367,-1.9964631,0.0,7.5096226,-4.024431,-19.295341,6.4493027,-11.623685,0.0
13,1.2167400121688843,3.4074525833129883,105.7713623046875,0.8507184626745515,-1.4594783572131804,-114.6632433326668,-0.11055583,-0.21540819,6.3528643,13.94979,-16.856775,25.927671,26.31809,-18.35562,25.50254,5.3566766,0.23852976,4.62759,20.431173,-32.18006,42.194584,16.463772,20.24343,5.873026,-11.876901,-5.5772142,9.54093,24.981892,11.695907,-2.2016122,0.0,7.126699,-4.0131345,-18.94517,7.0547576,-11.857027,0.0
14,1.230120301246643,3.4863121509552,105.74710083007812,0.7486543104184284,-1.4954842089407654,-114.90367217762028,-0.12628315,-0.0389114,6.4123635,14.143017,-17.13486,25.940453,26.634352,-19.146338,24.071629,4.8116293,0.19965902,4.7047915,20.336824,-32.36709,42.663322,15.200828,21.515,6.075778,-11.437298,-5.761719,9.833528,25.123268,12.195825,-2.4044697,0.0,6.7982993,-3.9850664,-18.599218,7.58165,-12.053143,0.0
15,1.2421786785125732,3.5730011463165283,105.72151184082031,0.6453785714618283,-1.5393634798281544,-115.16465662872508,-0.14908233,0.14254902,6.4761114,14.3439245,-17.383862,25.936928,26.926697,-19.843859,22.565031,4.2189417,0.14143938,4.715023,20.222887,-32.54555,43.055763,13.868,22.737766,6.2830606,-10.958311,-5.9279256,10.13292,25.288088,12.685574,-2.6002607,0.0,6.467475,-3.952229,-18.233484,8.115383,-12.248424,0.0
16,1.258678913116455,3.65263295173645,105.69615173339844,0.5417166037846396,-1.5863179696485377,-115.45227883530917,-0.1750062,0.32589355,6.544188,14.62808,-17.68066,25.878084,27.487556,-20.720846,20.914963,3.4146626,0.10150671,4.8649225,19.850826,-32.915657,43.536037,12.440407,23.993807,6.4654884,-10.591723,-6.0746837,10.433372,25.48339,13.169728,-2.8006523,0.0,6.155684,-3.9151065,-17.848034,8.611621,-12.423097,0.0
17,1.2787084579467773,3.7423479557037354,105.66971588134766,0.4364511078117307,-1.6353556560324467,-115.76806670391196,-0.20712645,0.5115548,6.618072,14.916149,-17.943705,25.513515,28.375957,-22.011372,19.22,1.718895,0.05117571,5.189369,18.411806,-33.5738,44.963264,11.4419565,26.43685,6.5418816,-10.4513,-6.21287,10.741837,25.707558,13.64861,-2.995189,0.0,5.8208833,-3.8775597,-17.428291,9.131521,-12.600132,0.0
18,1.292603611946106,3.833625555038452,105.64348602294922,0.32975739649163427,-1.688143833062556,-116.10867903023608,-0.24331857,0.69914424,6.689949,15.199535,-18.162462,25.060987,28.623985,-22.683268,17.786013,0.8210087,-0.05787589,5.1487675,17.12091,-33.451294,45.91482,10.777686,27.936007,6.6381245,-10.2274275,-6.3226147,11.055711,25.96456,14.10036,-3.1774511,0.0,5.5010133,-3.8268127,-16.9898,9.620306,-12.760344,0.0
19,1.3127861022949219,3.928802967071533,105.61616516113281,0.22450267636020854,-1.7478971709146354,-116.4733161577194,-0.28652972,0.88924456,6.7619586,15.5043,-18.366499,24.506895,28.82661,-23.339132,16.35356,-0.03766228,-0.16867165,5.1247387,15.837501,-33.137383,46.76903,10.1357975,29.197111,6.700625,-10.059005,-6.418678,11.372451,26.247368,14.555032,-3.3621662,0.0,5.173548,-3.7791681,-16.52651,10.122604,-12.921188,0.0
20,1.33316171169281,4.023178577423096,105.58805847167969,0.12399104565323403,-1.8176562473851918,-116.8614659754681,-0.34270987,1.082489,6.8353686,15.830086,-18.549677,23.854685,29.025436,-23.967993,14.909367,-0.7588589,-0.2733389,5.140972,14.519224,-32.761837,47.552845,9.434699,30.288715,6.7258267,-9.957439,-6.4803247,11.684478,26.564613,14.989779,-3.5410917,0.0,4.8601556,-3.7321808,-16.047024,10.612225,-13.074205,0.0
21,1.3551487922668457,4.108786582946777,105.55962371826172,0.030354595258541815,-1.898044710213812,-117.2767200663643,-0.41297793,1.2762965,6.9091315,16.184053,-18.712622,23.112095,29.214947,-24.572344,13.443513,-1.3150564,-0.36814457,5.214363,13.151227,-32.351944,48.270447,8.662249,31.163088,6.7189574,-9.916792,-6.505742,11.989446,26.91981,15.4151945,-3.7252269,0.0,4.5657725,-3.6908479,-15.548986,11.08741,-13.221372,0.0
