Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
12,-0.05217483267188072,2.9784491062164307,106.08465576171875,-0.6108490172256282,-1.7912945081031064,-88.98627435150108,-4.142091,0.063746504,5.5355453,4.192099,-9.822491,15.125092,23.778671,-20.177147,42.417137,22.016886,-8.5307455,-0.9201117,16.315262,-23.0141,19.764563,40.95733,-3.9719255,-2.313638,2.54382,0.7724575,2.7674775,17.084656,12.542494,-12.097271,0.0,1.3761497,-3.481653,-10.640505,13.883708,-12.610665,0.0
13,-0.05178016051650047,2.983067274093628,106.05873107910156,-0.6133569802311969,-1.900140428579568,-89.088658513236,-4.104501,0.039582323,5.7991643,4.216806,-10.1607275,15.158764,24.153643,-20.552404,41.589798,23.22642,-8.344939,-0.9772088,16.35687,-23.38439,20.436245,39.517067,-5.0687957,-2.2353237,2.5278368,0.78546506,2.8147774,17.174246,12.827894,-12.284716,0.0,1.3373308,-3.5036786,-10.516518,14.176306,-12.773791,0.0
14,-0.04746849834918976,3.0049209594726562,106.03192138671875,-0.6122397568290786,-2.018084959538535,-89.20206736062356,-4.0679264,0.008461828,6.096223,4.2407846,-10.505136,15.184379,24.526047,-20.946533,40.715973,24.708582,-8.173641,-0.9118688,16.389544,-23.743244,21.089912,37.922695,-6.4248586,-2.1505022,2.5428247,0.808974,2.8543239,17.277662,13.100016,-12.461348,0.0,1.2958473,-3.531505,-10.383888,14.472634,-12.928675,0.0
15,-0.05461863428354263,3.0192763805389404,106.00885009765625,-0.6112477858715146,-2.1168391890989144,-89.32323009251047,-4.0305285,-0.022931367,6.3933578,4.2659183,-10.867147,15.201886,24.902637,-21.34394,39.747486,26.273874,-7.9663267,-0.71940285,16.41278,-24.099993,21.713106,36.17723,-7.9657974,-2.0609674,2.5396552,0.8362376,2.89351,17.390001,13.326155,-12.612915,0.0,1.2467463,-3.5505893,-10.244007,14.738775,-13.0672,0.0
16,-0.05664021149277687,3.048750162124634,105.98828887939453,-0.6120870552175545,-2.1679963267996216,-89.44891480459331,-3.9907334,-0.047600303,6.6571045,4.29416,-11.254659,15.212641,25.283516,-21.716513,38.635864,27.73474,-7.6731777,-0.39612907,16.426798,-24.459166,22.280596,34.28522,-9.627504,-1.9685906,2.4627888,0.79382527,2.9337053,17.489292,13.554667,-12.74796,0.0,1.1317836,-3.5694127,-10.080917,14.997629,-13.184476,0.0
17,-0.04541726037859917,3.0772273540496826,105.97114562988281,-0.6142364050708903,-2.1666452809825114,-89.58008665054771,-3.9475794,-0.0631665,6.882488,4.328167,-11.67519,15.218059,25.669773,-22.05062,37.359623,29.103104,-7.265733,0.08731073,16.431503,-24.825056,22.773083,32.21334,-11.530148,-1.8681442,2.32321,0.69453377,2.9668415,17.580856,13.765562,-12.864642,0.0,0.96531343,-3.5896184,-9.896118,15.224189,-13.273844,0.0
18,-0.049504950642585754,3.0893354415893555,105.95823669433594,-0.6172943951081833,-2.12684668554919,-89.71781644275868,-3.9023843,-0.07314303,7.0863113,4.3687444,-12.132427,15.219342,26.063955,-22.347733,35.94118,30.456488,-6.772888,0.6945222,16.427109,-25.20091,23.188547,29.96328,-13.676008,-1.7572325,2.1753368,0.57437956,3.004039,17.67344,13.939651,-12.960111,0.0,0.7696432,-3.5983036,-9.696996,15.4244,-13.350904,0.0
19,-0.05173691362142563,3.1173501014709473,105.9458236694336,-0.622556333304515,-2.047764725011664,-89.85942537185386,-3.8572757,-0.08079525,7.272782,4.4549847,-13.061445,15.222618,26.806007,-22.796478,34.12362,31.445745,-6.085798,1.3026017,16.40879,-25.909088,23.775145,27.25665,-15.601043,-1.419157,2.005184,0.38417727,3.0475247,17.751545,14.137548,-13.050926,0.0,0.5079371,-3.6062171,-9.477518,15.6380415,-13.417289,0.0
20,-0.05503208190202713,3.1329498291015625,105.93824768066406,-0.6287279694852251,-1.9306286130037453,-90.00115374518565,-3.812964,-0.08699989,7.434537,4.5283113,-13.8971405,15.239546,27.74097,-23.176233,32.209015,31.975065,-5.595207,1.802366,16.377455,-26.795923,24.303577,24.612062,-16.920952,-1.2988122,1.7450161,0.17421697,3.086533,17.825586,14.293005,-13.11912,0.0,0.22326396,-3.6083925,-9.257277,15.815727,-13.462754,0.0
21,-0.05416199564933777,3.1444616317749023,105.9329605102539,-0.633029366502966,-1.7798055960368848,-90.1465780069787,-3.7710304,-0.09627602,7.5731373,4.5761476,-14.470164,15.279056,28.543825,-23.31385,30.158264,32.527386,-5.107242,2.243323,16.347277,-27.567581,24.656122,21.931147,-18.13454,-1.2409211,1.384503,-0.058599565,3.116313,17.89851,14.416476,-13.168887,0.0,-0.09225951,-3.6121514,-9.031049,15.974458,-13.490694,0.0
