Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
12,0.33671146631240845,1.4544851779937744,67.66718292236328,0.7778605678548471,1.7009855275585772,-114.60870411928654,13.670431,-13.6954,9.288677,-58.39939,38.694897,-55.43726,-3.7394712,7.4953365,8.723828,5.273922,53.066353,54.771835,65.48981,-24.92016,-9.078097,-10.104196,0.16038167,-5.377812,11.555774,25.83188,10.853862,-3.1467628,-12.684355,1.7884958,-6.7279835,-18.301212,10.992511,-13.050377,10.2009945
13,0.34450608491897583,1.498120665550232,67.6690444946289,0.7583587017888492,1.7034387295267177,-114.83518836360707,13.826441,-13.938413,9.006212,-57.93179,39.232292,-56.651997,-4.0368905,7.3575606,8.6934805,4.7308507,53.260933,55.27177,65.82608,-26.145685,-8.866165,-9.446362,0.15758857,-5.3438487,11.638714,26.053986,10.871956,-3.1223817,-12.721788,1.6379184,-6.689666,-18.055817,11.052011,-13.002193,10.131698
14,0.35424548387527466,1.5406615734100342,67.67034912109375,0.7397331630955796,1.697582144421319,-115.0854155109525,14.001079,-14.177392,8.747737,-57.503372,39.659157,-57.907207,-4.3993254,7.157794,8.611954,4.132232,53.535866,55.78102,66.11087,-27.408974,-8.613664,-8.705091,0.16445191,-5.292572,11.720771,26.289803,10.886727,-3.0993004,-12.759345,1.5082774,-6.64729,-17.799385,11.084237,-12.941242,10.062396
15,0.3641698360443115,1.5882409811019897,67.67156982421875,0.7218713724488306,1.6857263047488593,-115.36276931198762,14.197713,-14.410657,8.496987,-57.0787,39.995453,-59.23098,-4.819497,6.921666,8.508736,3.4624803,53.87288,56.293903,66.38197,-28.662724,-8.3461275,-7.96196,0.1780423,-5.228694,11.806953,26.545237,10.900247,-3.0741649,-12.800499,1.3812172,-6.599499,-17.523005,11.105067,-12.86946,9.986851
16,0.376969575881958,1.6326490640640259,67.67304229736328,0.7047777778846478,1.6702034575728393,-115.67119751869886,14.41977,-14.633608,8.243845,-56.636814,40.243805,-60.64772,-5.269245,6.674796,8.412105,2.7129943,54.255733,56.79512,66.67773,-29.85162,-8.083602,-7.2985716,0.1959082,-5.1476903,11.89352,26.82855,10.91288,-3.0541937,-12.845007,1.2514508,-6.5535684,-17.219463,11.12646,-12.794328,9.911049
17,0.3918154239654541,1.6823463439941406,67.67376708984375,0.6869038951307562,1.6527843180289319,-116.00910707645562,14.668567,-14.850065,7.986924,-56.168644,40.413162,-62.15812,-5.819616,6.3990555,8.312916,1.880002,54.675648,57.298637,66.998505,-31.002363,-7.8220143,-6.7219043,0.21492156,-5.0559564,11.985654,27.140162,10.922061,-3.0308418,-12.894083,1.110842,-6.502993,-16.885975,11.147074,-12.710024,9.828936
18,0.4041464924812317,1.7336848974227905,67.67420959472656,0.6692398679300688,1.6316360090669917,-116.37534343449333,14.942119,-15.060737,7.7263274,-55.671173,40.515945,-63.759186,-6.483212,6.091107,8.198128,0.96493906,55.133904,57.812275,67.33217,-32.14384,-7.5487475,-6.1938925,0.23713626,-4.9521637,12.086117,27.47622,10.935871,-3.0103087,-12.950802,0.9625198,-6.447779,-16.526325,11.175613,-12.626336,9.740253
19,0.42073094844818115,1.7883195877075195,67.67361450195312,0.6546622764222332,1.603964792248935,-116.77408739567827,15.238943,-15.259075,7.4583926,-55.14362,40.54927,-65.46546,-7.1307735,5.795882,8.091533,-0.032863535,55.62524,58.308258,67.70415,-33.22631,-7.267518,-5.7282467,0.26782653,-4.8317814,12.183704,27.837185,10.944603,-2.9873996,-13.008763,0.81126237,-6.3948426,-16.14285,11.202913,-12.534276,9.649091
20,0.4383886158466339,1.844409465789795,67.6716537475586,0.6465047289496008,1.566928429008858,-117.20910444813966,15.557636,-15.438199,7.1774383,-54.585526,40.510445,-67.29028,-7.633057,5.5563383,8.019718,-1.111112,56.14112,58.75496,68.1442,-34.198265,-6.9816694,-5.3397684,0.31146476,-4.6901093,12.276954,28.222689,10.9512205,-2.9650025,-13.070626,0.6625135,-6.346305,-15.737564,11.232426,-12.439995,9.554799
21,0.4580113887786865,1.8979731798171997,67.66828155517578,0.6455819505695205,1.5190874351320398,-117.6848464450224,15.904902,-15.599137,6.883292,-54.00403,40.401497,-69.24053,-7.9672613,5.3824816,7.9968696,-2.2650306,56.676414,59.132805,68.67997,-34.98126,-6.707753,-5.036313,0.36900544,-4.520018,12.362713,28.63744,10.9544935,-2.9469767,-13.136507,0.5189149,-6.3052855,-15.307708,11.265232,-12.3453,9.459769
22,0.48330798745155334,1.959570288658142,67.6634750366211,0.6504047502589495,1.4620951881000772,-118.19834121276523,16.279558,-15.745757,6.576214,-53.40047,40.225193,-71.304886,-8.202799,5.2491693,8.007933,-3.4897196,57.224983,59.449,69.30358,-35.624508,-6.435437,-4.8122334,0.43821424,-4.3347,12.4441595,29.0786,10.954866,-2.9232244,-13.202735,0.3691292,-6.2680383,-14.852346,11.30048,-12.240473,9.360135
23,0.5050627589225769,2.008286237716675,67.65853881835938,0.6615256929407533,1.3978199745681146,-118.74137024719919,16.667217,-15.872399,6.2491403,-52.759773,39.983562,-73.47488,-8.352753,5.1466303,8.035804,-4.7800984,57.77572,59.711178,69.994934,-36.267265,-6.128565,-4.660687,0.51869136,-4.1205316,12.518496,29.540699,10.95621,-2.913446,-13.276149,0.23263556,-6.2371297,-14.380496,11.34018,-12.14607,9.264416
24,0.5295757055282593,2.0702648162841797,67.65162658691406,0.678809724980386,1.328034367130377,-119.30593378938308,17.05365,-15.973845,5.892861,-52.060173,39.6841,-75.74585,-8.4374695,5.065021,8.06243,-6.1334596,58.31219,59.93062,70.738976,-37.051937,-5.754965,-4.5706515,0.61005634,-3.9052105,12.589561,30.011494,10.954528,-2.8903887,-13.348877,0.08835294,-6.2059846,-13.8969145,11.379619,-12.039369,9.162457
25,0.5545491576194763,2.1371700763702393,67.64361572265625,0.7018587021146726,1.252091390953613,-119.89145599734859,17.433208,-16.052206,5.5037675,-51.293602,39.341923,-78.14155,-8.437223,5.0080748,8.081625,-7.5427766,58.819885,60.105907,71.55125,-38.050484,-5.286244,-4.5577917,0.71518564,-3.683342,12.656874,30.487839,10.952145,-2.8617764,-13.423191,-0.055202972,-6.1758075,-13.405707,11.420213,-11.928201,9.058097
26,0.5850573778152466,2.1988143920898438,67.63565826416016,0.7314810884203707,1.1693178332613967,-120.50174175592947,17.814014,-16.107794,5.0838275,-50.461414,38.9576,-80.66267,-8.367497,4.9759254,8.1032715,-9.001801,59.292717,60.224377,72.455605,-39.177937,-4.7483153,-4.616486,0.83343124,-3.4448552,12.7109,30.976877,10.948056,-2.8377576,-13.495175,-0.6194784,-6.256383,-12.856853,12.264524,-12.181822,8.964061
27,0.6252173185348511,2.2591044902801514,67.62535095214844,0.7687772595659725,1.0816059167719556,-121.1355666614669,18.202803,-16.137486,4.6319156,-49.55222,38.515053,-83.27506,-8.303454,4.955003,8.13086,-10.509782,59.731655,60.281284,73.44326,-40.33475,-4.191653,-4.7042756,0.95914036,-3.1957746,12.749728,31.483223,10.94372,-2.8166611,-13.560681,-1.2236631,-6.3496895,-12.286745,13.177266,-12.458565,8.8775425
28,0.6653226613998413,2.32196307182312,67.61351013183594,0.815107924647349,0.9912122929926571,-121.79197103414235,18.60619,-16.137697,4.1476793,-48.549587,37.99833,-85.94855,-8.324611,4.9328094,8.169363,-12.069606,60.14688,60.274143,74.497665,-41.421986,-3.6649578,-4.7842064,1.0867488,-2.9358003,12.7813015,32.01148,10.939483,-2.795647,-13.627617,-1.8316786,-6.4371996,-11.695162,14.085353,-12.727943,8.788967
29,0.7013646960258484,2.3936023712158203,67.59854888916016,0.8704302208261328,0.8971959108011294,-122.47181881035155,19.0237,-16.104403,3.6305838,-47.437954,37.407097,-88.6961,-8.50381,4.8918653,8.2054825,-13.690522,60.53864,60.202293,75.62027,-42.500614,-3.1835678,-4.833417,1.2159892,-2.6659658,12.811605,32.560665,10.934352,-2.7692037,-13.699153,-2.4658115,-6.5158296,-11.078794,15.027293,-13.0060005,8.691883
30,0.7474865913391113,2.4486935138702393,67.58380889892578,0.9345139250795585,0.7990122127439061,-123.17544528051246,19.452768,-16.040888,3.0840926,-46.21476,36.74361,-91.53832,-8.803192,4.8419714,8.241314,-15.374597,60.90772,60.069633,76.81227,-43.59605,-2.7200859,-4.880246,1.3495694,-2.3755233,12.819079,33.13224,10.933801,-2.762915,-13.763152,-3.0500126,-6.595973,-10.447006,15.887585,-13.247731,8.611802
31,0.7976908087730408,2.51171612739563,67.56586456298828,1.0074624047412348,0.6990294888267744,-123.90085146145265,19.89747,-15.954088,2.5152237,-44.887074,35.990112,-94.45181,-9.130727,4.808611,8.307191,-17.118376,61.262547,59.87661,78.060135,-44.553196,-2.263659,-4.9708276,1.4861507,-2.0804596,12.8179455,33.72375,10.93051,-2.74893,-13.825995,-3.6685538,-6.6733294,-9.7920685,16.78899,-13.496538,8.529377
32,0.8376871943473816,2.583372116088867,67.54527282714844,1.0893839086580346,0.5995816054521683,-124.64584608549482,20.361607,-15.851234,1.9326687,-43.46541,35.122955,-97.4106,-9.388784,4.81625,8.435381,-18.919338,61.613796,59.619904,79.34698,-45.21876,-1.8004079,-5.152978,1.624353,-1.7784308,12.8200445,34.335632,10.926189,-2.724195,-13.901566,-4.3077965,-6.7330203,-9.117456,17.714138,-13.752498,8.433729
33,0.8809076547622681,2.650491714477539,67.5245590209961,1.178795604205593,0.49949438290368675,-125.41117528027448,20.8497,-15.723463,1.3393722,-41.942307,34.116,-100.43719,-9.519706,4.8603687,8.639306,-20.78986,61.93212,59.27164,80.71987,-45.518612,-1.3337226,-5.4383626,1.7647008,-1.4643092,12.810335,34.973488,10.922024,-2.7025363,-13.977725,-4.9295197,-6.784169,-8.426302,18.60075,-13.987199,8.342115
