Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
12,0.12746267020702362,-2.0643043518066406,68.22606658935547,-0.8038107610182741,4.084022111875426,-102.37778414477467,6.15404,-1.8376166,9.372915,-64.87625,33.1175,-38.95301,-7.0168085,2.9271228,-2.145447,4.318564,64.14229,52.695335,47.86144,9.073455,-5.5542397,-1.7658534,5.1886535,1.4708687,6.645881,19.270061,10.973681,-12.007364,-9.114905,-1.614201,-4.924006,-10.832423,10.89236,-12.733964,7.1583066
13,0.14416667819023132,-2.123616933822632,68.25611877441406,-0.8636907169487363,4.322399192533701,-102.09165660174821,6.0541315,-2.0927892,9.178863,-64.699005,33.28144,-38.55968,-7.568702,2.9132597,-2.0838568,4.346824,64.01478,52.554344,47.872097,8.845933,-5.557574,-1.7753137,5.3587008,1.0682992,6.6648617,19.047472,11.043858,-11.815461,-8.918959,-1.7130445,-4.9268374,-11.3276005,10.891541,-12.8244915,7.231733
14,0.16537383198738098,-2.17698335647583,68.28913879394531,-0.9304385721348941,4.571950284594375,-101.75380228499037,5.9517508,-2.3566296,8.907914,-64.5174,33.49165,-38.066414,-8.097673,3.0180988,-2.0408728,4.399865,63.851746,52.388626,47.90289,8.576291,-5.5372896,-1.8026617,5.556819,0.6097588,6.7063923,18.932236,11.151311,-11.46611,-8.620372,-1.8080474,-4.9293823,-11.902574,10.885831,-12.915383,7.313785
15,0.18676631152629852,-2.220086097717285,68.31488800048828,-1.003069205692768,4.817048801648629,-101.36429821234154,5.829502,-2.6236541,8.636035,-64.37752,33.652946,-37.538353,-8.497204,3.178888,-1.9729152,4.4605827,63.693245,52.28174,47.867428,8.124686,-5.4763455,-1.8235983,5.736309,0.14593884,6.764602,18.955118,11.287299,-11.0652,-8.31322,-1.9015316,-4.9262934,-12.507809,10.88643,-13.006735,7.4001794
16,0.20639309287071228,-2.25520658493042,68.32856750488281,-1.0767575996107803,5.042999244998031,-100.92294796692909,5.669451,-2.8885033,8.406967,-64.26591,33.730297,-37.05061,-8.736647,3.338492,-1.8565633,4.510746,63.551723,52.313274,47.702477,7.34442,-5.3586683,-1.7985065,5.8504868,-0.6736229,6.9708376,19.06138,12.219984,-11.110738,-8.1309595,-1.9828503,-4.917139,-13.094937,10.899255,-13.105974,7.491161
17,0.22747385501861572,-2.294471025466919,68.3304443359375,-1.1545668824089683,5.2484491763642795,-100.42961519644804,5.480964,-3.1522448,8.256062,-64.181,33.69883,-36.651623,-8.72244,3.5239549,-1.6586052,4.540929,63.44727,52.47405,47.33188,6.101607,-5.1298895,-1.7342819,5.9000273,-2.1571705,7.4566493,19.297709,14.562729,-11.799909,-8.074037,-2.0326896,-4.8993664,-13.665468,10.900588,-13.207135,7.594061
18,0.2500417232513428,-2.3323633670806885,68.32039642333984,-1.23623838345445,5.442284816447691,-99.88496773508726,5.268231,-3.4175816,8.103817,-64.08407,33.625095,-36.276733,-8.553811,3.7544174,-1.439371,4.5667324,63.32596,52.7636,46.851395,4.4663043,-4.827508,-1.6479018,5.9056554,-3.466334,7.927953,19.748203,16.656595,-12.329085,-8.077727,-1.7050165,-4.7804284,-14.269351,10.220517,-13.003132,7.703244
19,0.2677989602088928,-2.367546319961548,68.30274200439453,-1.3128294266112133,5.622362648078786,-99.28913384079512,5.005663,-3.6755855,7.939023,-63.968815,33.543854,-35.907124,-8.40758,3.967783,-1.2256386,4.5910487,63.176987,53.20441,46.341324,2.6916645,-4.536597,-1.4877462,5.8485293,-4.6276402,8.39665,20.392422,18.572865,-12.781811,-8.104401,-2.015593,-4.828879,-14.8045845,10.770431,-13.357697,7.8198576
20,0.27560847997665405,-2.413520336151123,68.2800064086914,-1.376315516552257,5.786609302307127,-98.64205402463887,4.667831,-3.917059,7.7882285,-63.8465,33.48244,-35.523373,-8.45592,4.0782566,-1.0198423,4.612568,63.02735,53.801064,45.88006,1.0434247,-4.372391,-1.2204332,5.7122498,-5.606129,8.850698,21.214819,20.261435,-13.186691,-8.114409,-2.0737877,-4.820049,-15.3310795,10.915052,-13.550468,7.932968
21,0.2779306173324585,-2.46020770072937,68.25476837158203,-1.425650277268888,5.935460981424126,-97.94208066337691,4.240602,-4.1536384,7.6459637,-63.69821,33.467762,-35.143127,-8.762094,4.0730977,-0.8163833,4.629353,62.867126,54.554626,45.43031,-0.602687,-4.3155837,-0.83335483,5.4714956,-6.3686347,9.292281,22.28142,21.68634,-13.526823,-8.123319,-1.890656,-4.747412,-15.823417,10.60601,-13.527658,8.040025
22,0.2755805253982544,-2.5108842849731445,68.22626495361328,-1.4642627045514474,6.069769091009581,-97.1891778169582,3.739784,-4.3849006,7.558596,-63.564655,33.453445,-34.784546,-9.198204,3.9804897,-0.5694856,4.64496,62.755714,55.362488,44.927746,-2.2247906,-4.342232,-0.31559098,5.141594,-6.9524183,9.730386,23.57808,22.91487,-13.8098,-8.143418,-1.6024715,-4.6451836,-16.284443,10.120048,-13.42482,8.145982
23,0.2709721624851227,-2.5620296001434326,68.1947021484375,-1.4910624895881863,6.188405942951158,-96.38610188231432,3.1859217,-4.590201,7.4875894,-63.38605,33.43146,-34.445908,-9.757741,3.837469,-0.36033517,4.6394935,62.642456,56.40985,44.483635,-3.6438344,-4.4795218,0.22068031,4.766987,-7.432913,10.159791,24.968685,24.051481,-14.096045,-8.129106,-1.7184502,-4.6785674,-16.716106,10.462004,-13.706764,8.26178
24,0.2657626271247864,-2.621544122695923,68.16082763671875,-1.5054918769637986,6.289781505699075,-95.53523708648227,2.599549,-4.7481165,7.4627113,-63.21492,33.343964,-34.10578,-10.353073,3.6583421,-0.18033156,4.602672,62.58594,57.538296,44.145695,-4.3782725,-4.7783284,0.85236925,4.393248,-7.8667374,10.5708275,26.318485,25.159634,-14.43544,-8.035953,-1.7541623,-4.7154393,-17.202356,10.749051,-13.98396,8.390477
