Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
12,1.601171851158142,0.737714409828186,67.99529266357422,-0.2919362317487096,2.0421906969926518,-90.59063291417286,1.2535794,-6.844969,-3.5983872,-69.41841,62.560062,-42.289616,6.503682,12.201662,7.586967,2.107055,70.27911,30.170113,42.468735,5.5117383,-0.61957014,-3.998567,2.6512594,-2.5340025,4.9267797,8.100078,14.328556,-13.214953,-6.716624,-0.18858963,-6.3325615,-11.068487,10.966897,-11.707571,9.61512
13,1.6563674211502075,0.7455188632011414,68.02027130126953,-0.31093718802096065,2.286507960970822,-90.60283201976259,1.335603,-7.2308936,-3.4903271,-69.32787,62.699337,-42.6959,6.5723248,12.378245,7.457783,2.2646766,70.073456,29.424644,43.06271,5.220992,-0.3428535,-4.192971,2.7267363,-3.0179386,4.893671,8.012991,14.624801,-13.290844,-6.652242,-0.4668948,-6.3843417,-11.131737,10.948278,-11.629767,9.668791
14,1.71646249294281,0.7588878273963928,68.04654693603516,-0.33052718781704227,2.551338684629196,-90.62682356519603,1.4354548,-7.6669664,-3.3685725,-69.22211,62.73185,-43.1141,6.524951,12.57422,7.3333006,2.3893385,69.89065,28.76246,43.62683,4.927244,-0.06829542,-4.445068,2.8101428,-3.5432172,4.8562036,7.928075,14.944682,-13.370699,-6.584152,-0.79260427,-6.4456997,-11.189541,10.959467,-11.552777,9.7252
15,1.7777042388916016,0.7607638835906982,68.07325744628906,-0.35268345051779293,2.8374175440443783,-90.66195675230409,1.5487591,-8.165497,-3.1244202,-68.98853,62.57679,-43.716087,6.340373,12.741823,7.2155986,2.5907443,69.621796,28.022861,44.332993,4.690982,0.18149783,-4.620971,2.9014091,-4.079192,4.8182645,7.8471375,15.256606,-13.453777,-6.5179424,-1.1418905,-6.5078506,-11.242405,10.983583,-11.484277,9.782207
16,1.8432766199111938,0.7612735033035278,68.10166931152344,-0.3797060171925681,3.1453671304073945,-90.70825533480986,1.671862,-8.736115,-2.8437915,-68.7024,62.26851,-44.36099,5.9129486,12.775349,7.0887804,2.7503388,69.39073,27.397295,44.991158,4.44292,0.41669166,-4.854224,3.0003643,-4.6529427,4.7817364,7.768118,15.590731,-13.544406,-6.448889,-1.5278044,-6.571591,-11.286185,11.024238,-11.414658,9.840109
17,1.9078397750854492,0.7716718912124634,68.13195037841797,-0.4131040855278342,3.482413308138803,-90.76738911623595,1.7979623,-9.379556,-2.5218692,-68.35056,61.837086,-45.041782,5.1423044,12.681913,6.9277654,2.866402,69.18133,26.820051,45.61768,4.228655,0.64275575,-5.089438,3.110582,-5.2994905,4.7541614,7.687416,15.976285,-13.643954,-6.3807907,-1.9534045,-6.6283283,-11.323496,11.05331,-11.324652,9.892381
18,1.9781029224395752,0.7827684283256531,68.16231536865234,-0.45180974351567293,3.8459510645125996,-90.83869061920981,1.9310385,-10.090892,-2.1531787,-67.93031,61.283665,-45.77694,4.083793,12.50061,6.740178,2.9424765,68.986206,26.286463,46.218662,4.046264,0.86054456,-5.3281813,3.2306058,-6.0021453,4.7273917,7.607,16.404863,-13.758667,-6.308944,-2.4168997,-6.687981,-11.354608,11.088159,-11.228357,9.947191
19,2.0493717193603516,0.7970482110977173,68.19424438476562,-0.49611699346590965,4.22164034992525,-90.91839244190224,2.0829988,-10.872559,-1.7266417,-67.448105,60.555225,-46.60536,2.8965394,12.199629,6.5781813,2.9882076,68.80323,25.799456,46.786606,3.8809202,1.0657412,-5.5712047,3.3541863,-6.7227244,4.703294,7.529113,16.831802,-13.866658,-6.235751,-2.9050195,-6.744137,-11.376412,11.129201,-11.119555,9.9982815
20,2.114609956741333,0.827459990978241,68.2249755859375,-0.5462079733888304,4.595326029746912,-91.00266797934593,2.2656794,-11.727497,-1.2277013,-66.91446,59.590275,-47.562733,1.7453352,11.743743,6.4948363,3.0161724,68.63172,25.359552,47.31607,3.7207446,1.2536547,-5.8200517,3.4749575,-7.476078,4.691813,7.4514594,17.294954,-13.975353,-6.1645894,-3.416452,-6.789411,-11.384425,11.179445,-10.983291,10.036
21,2.183558464050293,0.8686304092407227,68.2662353515625,-0.6081771260037223,4.964643628753852,-91.09882238968076,2.4860828,-12.659564,-0.6486791,-66.34084,58.386982,-48.670586,0.89504844,11.148497,6.4721584,3.0316203,68.474464,24.96201,47.814793,3.5662162,1.4190066,-6.07825,3.59074,-8.144443,4.677576,7.3907466,17.591742,-13.999547,-6.0875845,-3.9614477,-6.825553,-11.354813,11.245008,-10.816215,10.061471
22,2.2545573711395264,0.9138040542602539,68.31211853027344,-0.6796740915836822,5.336613876560428,-91.2066355843355,2.7363796,-13.66543,0.010285924,-65.72793,56.961414,-49.89782,0.18714817,10.422276,6.4932466,3.0355346,68.328636,24.602198,48.29299,3.4282985,1.56303,-6.3447423,3.7052774,-8.787127,4.6669426,7.3399973,17.827726,-13.992099,-6.008106,-4.536664,-6.8543663,-11.29549,11.326158,-10.618683,10.077366
23,2.3184311389923096,0.9617977142333984,68.35464477539062,-0.7487066656187888,5.710699361514482,-91.31138963780468,3.0064328,-14.73822,0.7530037,-65.06651,55.280155,-51.19978,-0.85466295,9.516699,6.6046,3.0365565,68.18544,24.28264,48.752514,3.3063257,1.6918072,-6.6134458,3.8213797,-9.458187,4.6587963,7.281042,18.100046,-13.99374,-5.932104,-5.1256614,-6.8860598,-11.248827,11.414955,-10.362997,10.090999
24,2.3791744709014893,1.0136947631835938,68.39057159423828,-0.803852342437273,6.086402059945186,-91.39729522696857,3.2865129,-15.870909,1.5916682,-64.34476,53.30663,-52.53114,-2.7076228,8.382859,6.831098,3.0482125,68.03062,24.0038,49.20266,3.2004116,1.8098192,-6.8782983,3.9414518,-10.183227,4.635716,7.198954,18.448847,-14.018491,-5.8527017,-5.710745,-6.9318867,-11.265959,11.500568,-10.002449,10.11303
25,2.4401066303253174,1.093761682510376,68.41957092285156,-0.8442543898990524,6.4718768845318415,-91.47921587950916,3.6009562,-17.126488,2.553862,-63.546528,50.945236,-53.81751,-5.7146883,6.8898273,7.197359,3.0750208,67.86008,23.767416,49.706127,3.1875665,1.8661004,-7.128175,4.0728235,-11.011629,4.5949273,7.0987763,18.910568,-14.060668,-5.763003,-7.0620813,-7.160942,-11.280294,12.963947,-10.09493,10.1684885
