Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
12,0.0054468633607029915,1.306793451309204,68.0765151977539,0.5665534394665644,0.7766767224368404,-90.30873809266348,3.2087016,-7.227584,1.3208966,-69.6406,29.564018,-23.37923,-15.017908,-0.45952183,-1.636075,0.7356461,71.829475,16.592766,27.329357,4.641003,-1.0877908,-6.191652,1.5775536,-1.9168562,1.4870771,8.968017,10.838723,-9.713984,-2.754108,-2.6159124,-3.1448028,-7.121569,12.812609,-11.67863,2.8007486
13,0.005467899609357119,1.3055850267410278,68.07611846923828,0.5657502235578278,0.7752672669480535,-90.31286066315053,3.212789,-7.216308,1.3304154,-69.63335,29.55883,-23.359846,-15.02917,-0.4761813,-1.6283652,0.7354469,71.83251,16.591877,27.335178,4.646021,-1.0884451,-6.180256,1.5842671,-1.9127779,1.4882178,8.9656725,10.838216,-9.7161455,-2.7546728,-2.6099496,-3.143057,-7.12394,12.808579,-11.679118,2.800387
14,0.0066131469793617725,1.3041797876358032,68.07599639892578,0.5636995502196422,0.7730319940721785,-90.31744967617752,3.2159414,-7.1991434,1.335145,-69.6292,29.552362,-23.338696,-15.055422,-0.497603,-1.6159047,0.7355624,71.83454,16.593369,27.343414,4.6603827,-1.0970426,-6.1649055,1.5922518,-1.9102279,1.4901505,8.962641,10.838945,-9.717366,-2.7542715,-2.5929985,-3.1396384,-7.127355,12.786575,-11.671756,2.8008642
15,0.0075777992606163025,1.3043184280395508,68.07587432861328,0.5625625815661985,0.7710059087456611,-90.32113311453298,3.218659,-7.181128,1.3438241,-69.6213,29.541864,-23.318022,-15.080376,-0.520411,-1.6042114,0.7360761,71.838745,16.597979,27.352335,4.6753826,-1.1086941,-6.1518526,1.599768,-1.9089267,1.4909726,8.959267,10.838674,-9.716601,-2.7534187,-2.5828283,-3.1379318,-7.1307335,12.773874,-11.667045,2.8013513
16,0.007598416414111853,1.3049565553665161,68.07572937011719,0.5617950375882613,0.7704187082339594,-90.32232445031808,3.2212777,-7.172427,1.3523268,-69.61316,29.533993,-23.306765,-15.09452,-0.53260934,-1.5933189,0.73652214,71.84286,16.603579,27.358208,4.685494,-1.1165453,-6.145172,1.6047175,-1.9094783,1.4918821,8.955879,10.839618,-9.716543,-2.7532108,-2.5799885,-3.1367252,-7.134031,12.770402,-11.665702,2.801159
17,0.008137442171573639,1.3037029504776,68.07608795166016,0.5619095303169674,0.772165702072563,-90.3196587393522,3.2242234,-7.1761804,1.3667364,-69.59874,29.529877,-23.31796,-15.094152,-0.526359,-1.581971,0.7363781,71.84893,16.613426,27.359766,4.6903872,-1.1223418,-6.14894,1.6060265,-1.911982,1.490866,8.952328,10.839771,-9.716202,-2.7523713,-2.5749319,-3.1373296,-7.1380486,12.761358,-11.6631565,2.8023546
18,0.008826272562146187,1.3015761375427246,68.07638549804688,0.5631511471542983,0.7754844889343006,-90.31428746194922,3.226747,-7.185799,1.3756381,-69.588905,29.532906,-23.327646,-15.086796,-0.5150489,-1.5675898,0.73546857,71.85215,16.621311,27.359472,4.69668,-1.1277955,-6.153632,1.6047873,-1.9134134,1.4876615,8.948747,10.839264,-9.717941,-2.751051,-2.576076,-3.1405523,-7.1421103,12.762526,-11.666009,2.8044336
19,0.0090491259470582,1.298706293106079,68.07675170898438,0.5648067685647346,0.7788293824565637,-90.30837709722395,3.229919,-7.1985846,1.3841603,-69.57835,29.54034,-23.342905,-15.081313,-0.49766862,-1.5544633,0.733895,71.85502,16.631807,27.356499,4.6938477,-1.1275994,-6.161473,1.6029705,-1.9159815,1.4847028,8.94512,10.839127,-9.718855,-2.7502306,-2.576253,-3.1438205,-7.1462445,12.762665,-11.668852,2.8062325
20,0.009374285116791725,1.2973918914794922,68.07672119140625,0.5661125673252945,0.7804834550971129,-90.3037765582776,3.2325313,-7.2024946,1.3898528,-69.5708,29.544586,-23.342482,-15.076907,-0.49352667,-1.5510072,0.73255956,71.85672,16.63712,27.354383,4.683063,-1.1190108,-6.167632,1.602149,-1.9175531,1.4821725,8.941662,10.839383,-9.719503,-2.7492661,-2.5797498,-3.1470304,-7.149765,12.770276,-11.674205,2.8076828
21,0.009937584400177002,1.2953505516052246,68.07616424560547,0.5655535908380127,0.7795446313158998,-90.3021524921345,3.2396066,-7.200545,1.401823,-69.55524,29.54825,-23.35376,-15.087834,-0.4884847,-1.5606483,0.7299299,71.85985,16.645079,27.344719,4.6491065,-1.0894727,-6.179286,1.6036621,-1.9137491,1.4818603,8.938675,10.839198,-9.72248,-2.7489572,-2.5758276,-3.147245,-7.1529527,12.770521,-11.677213,2.808525
22,0.009990856051445007,1.295058012008667,68.07557678222656,0.5656523353111335,0.7770597784996767,-90.30194186331481,3.2459786,-7.19253,1.4063463,-69.54976,29.546185,-23.34172,-15.093263,-0.49546665,-1.5790215,0.7292346,71.86091,16.64429,27.338423,4.6069202,-1.0497547,-6.1882787,1.6062393,-1.9110245,1.4817282,8.9358835,10.838729,-9.722477,-2.7488525,-2.5735056,-3.1476676,-7.155576,12.774256,-11.680661,2.8085475
23,0.01065768301486969,1.294256329536438,68.07495880126953,0.5650953740411598,0.7743522802770026,-90.30095915457134,3.2504451,-7.1861815,1.4143984,-69.540665,29.541302,-23.33398,-15.097627,-0.5038849,-1.5994635,0.7286787,71.86275,16.641788,27.334484,4.5646734,-1.0138922,-6.1965566,1.6081592,-1.908439,1.4817348,8.932897,10.839637,-9.723579,-2.748329,-2.567916,-3.1477487,-7.158518,12.773257,-11.6823635,2.809197
