Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
12,-0.3305947780609131,3.5502467155456543,79.00961303710938,0.36954995953493297,-0.8241357139123688,-91.17629634234808,2.8065698,0.77330905,13.912429,6.3760395,-6.1825757,-0.8586235,1.874531,-4.772414,-23.06601,9.554476,-11.285555,1.9825714,-2.1603312,-0.5132415,8.664092,-9.217778,7.0963283,-42.381287,61.524826,17.07607,1.6622661,0.65166336,-9.2782,-6.498741,37.82951,60.041668,10.074311,7.8864365,-14.501567
13,-0.3456030786037445,3.6177046298980713,79.01545715332031,0.37991605576156784,-0.7318178495923001,-91.10958775468431,2.6222486,0.766236,13.848968,6.3824987,-6.099336,-0.84890383,1.7086743,-4.7891555,-23.127275,9.588152,-11.248948,1.9481869,-2.1200886,-0.53746593,8.736701,-9.280781,7.1320057,-42.343357,61.458694,17.03522,1.677028,0.6839881,-9.275395,-6.5312014,37.882656,59.97301,10.104149,7.8816776,-14.496012
14,-0.3616344630718231,3.693052291870117,79.02162170410156,0.3903550365223657,-0.6383853845062493,-91.04195279302927,2.4308116,0.75929636,13.784548,6.38828,-6.009146,-0.8386439,1.5340762,-4.8057857,-23.189394,9.624401,-11.208074,1.9102246,-2.077853,-0.56718874,8.815344,-9.340252,7.1679955,-42.28493,61.39594,17.006151,1.7040684,0.71565086,-9.267878,-6.564874,37.934174,59.897182,10.145753,7.871398,-14.483163
15,-0.38354429602622986,3.7663896083831787,79.02757263183594,0.4027957129832346,-0.5406273190717727,-90.97331604935195,2.2341645,0.7541255,13.718674,6.39444,-5.917689,-0.8320088,1.3539068,-4.8210964,-23.252546,9.665616,-11.1724,1.8684509,-2.0303543,-0.5984305,8.901903,-9.399883,7.2044883,-42.203743,61.336258,16.976812,1.7309167,0.7466167,-9.257544,-6.6004596,37.98115,59.818485,10.193953,7.857264,-14.472706
16,-0.40343859791755676,3.8545258045196533,79.0340805053711,0.41614422329200573,-0.43538661977615245,-90.90361196249067,2.0171366,0.7464508,13.652782,6.4002247,-5.8141685,-0.82072717,1.1454479,-4.8425198,-23.315296,9.723217,-11.132098,1.8229337,-1.9742819,-0.62633216,8.998919,-9.463989,7.2418017,-42.0972,61.27885,16.935602,1.7446885,0.7759629,-9.24569,-6.6388707,38.019115,59.738674,10.242629,7.8418865,-14.473255
17,-0.4268753230571747,3.950962781906128,79.04015350341797,0.430366946647645,-0.32204131645938655,-90.83385191940233,1.7829769,0.74030447,13.587146,6.4068985,-5.7028947,-0.80960643,0.9108025,-4.8663316,-23.377272,9.801727,-11.0956545,1.771489,-1.9078429,-0.6483282,9.106783,-9.534827,7.2802067,-41.966896,61.220512,16.884127,1.7412856,0.7964757,-9.230069,-6.6812468,38.044193,59.654945,10.294297,7.8251815,-14.493799
18,-0.4437500536441803,4.058030128479004,79.04615783691406,0.44645316666682733,-0.2022078878126924,-90.76369557402573,1.5330131,0.72731197,13.522879,6.412875,-5.583552,-0.7912619,0.64767885,-4.90339,-23.436977,9.907531,-11.061933,1.721646,-1.8325106,-0.6667489,9.224971,-9.610475,7.3197255,-41.81435,61.162174,16.826464,1.7275369,0.8105127,-9.21003,-6.7282634,38.05674,59.564785,10.348912,7.807028,-14.526157
19,-0.45984387397766113,4.158068656921387,79.05225372314453,0.46169163464104684,-0.07618820895512549,-90.69120162649513,1.2790146,0.7136906,13.456374,6.4191685,-5.4669213,-0.77273226,0.3913515,-4.937485,-23.499407,9.994897,-11.022639,1.6742681,-1.75005,-0.6848794,9.352741,-9.6867485,7.3601694,-41.633305,61.10856,16.75799,1.7073,0.8315487,-9.187346,-6.7798643,38.058426,59.470898,10.394976,7.7883415,-14.553553
20,-0.47818300127983093,4.255728244781494,79.05819702148438,0.4782338049539254,0.05602381530314118,-90.61425866459571,1.0178779,0.6992151,13.385355,6.4250045,-5.348462,-0.754991,0.13088131,-4.972144,-23.565722,10.082098,-10.985547,1.6259507,-1.6632407,-0.70585597,9.489646,-9.759591,7.401197,-41.414066,61.064346,16.676441,1.683732,0.87176096,-9.165242,-6.835269,38.052433,59.37709,10.421548,7.770442,-14.559599
21,-0.5014809966087341,4.368285655975342,79.06388092041016,0.49502769281060155,0.195003992915827,-90.53014427791206,0.73689383,0.68647295,13.306858,6.4286594,-5.21415,-0.7371842,-0.15384613,-5.006759,-23.638357,10.181869,-10.945469,1.5685616,-1.5736372,-0.7316407,9.634508,-9.828702,7.4425416,-41.147697,61.03258,16.57388,1.6600348,0.9323734,-9.143612,-6.8934374,38.03846,59.284763,10.422434,7.7526245,-14.5360775
22,-0.5186509490013123,4.476201057434082,79.06985473632812,0.5131210035299004,0.3406020907265746,-90.44066303265365,0.44948682,0.66684246,13.224162,6.4325376,-5.0812783,-0.7145323,-0.43824363,-5.0480127,-23.714787,10.274238,-10.902398,1.5176494,-1.480502,-0.759858,9.787998,-9.8949175,7.483927,-40.8334,61.00915,16.460867,1.6326944,1.0051849,-9.121824,-6.9535217,38.01691,59.19188,10.405483,7.7347245,-14.492974
23,-0.5374378561973572,4.6050310134887695,79.07544708251953,0.5307277832899319,0.49136523529880727,-90.35067946615371,0.1405552,0.64846677,13.141313,6.4351497,-4.9307837,-0.68961245,-0.756128,-5.092139,-23.790571,10.388534,-10.854324,1.4577447,-1.3839811,-0.78925437,9.952189,-9.956432,7.5252604,-40.475723,60.991817,16.360563,1.5952828,1.0900995,-9.10475,-7.015844,37.99263,59.104294,10.380055,7.7171707,-14.442552
24,-0.5604982376098633,4.73870849609375,79.08090209960938,0.5500094206373335,0.6457146016522949,-90.2650034187079,-0.17648946,0.6319774,13.062921,6.438737,-4.7759185,-0.6670496,-1.0859663,-5.1351914,-23.861984,10.508397,-10.805449,1.3923457,-1.2839098,-0.81713647,10.128928,-10.010825,7.5664463,-40.08102,60.97612,16.294619,1.5416491,1.187528,-9.095034,-7.0810723,37.97301,59.023567,10.358588,7.700302,-14.397459
25,-0.5842591524124146,4.874419689178467,79.08624267578125,0.5685278458922625,0.8015684000343721,-90.1830107950039,-0.4959017,0.61680543,12.988502,6.441443,-4.619047,-0.645481,-1.4175711,-5.1752,-23.930105,10.621767,-10.750901,1.3249326,-1.1836041,-0.8440061,10.318836,-10.053984,7.6075606,-39.65156,60.963943,16.275864,1.4608833,1.3129487,-9.092839,-7.149946,37.96691,58.950546,10.345498,7.6896014,-14.355045
26,-0.6006412506103516,5.001724720001221,79.09046173095703,0.5862990839355551,0.9602792683718329,-90.10282736870481,-0.8138017,0.59711707,12.916915,6.4453006,-4.4685364,-0.62040246,-1.7494949,-5.2222705,-23.994926,10.74292,-10.703423,1.2656897,-1.0824037,-0.8705167,10.520463,-10.088158,7.6488204,-39.186264,60.956097,16.288095,1.3598342,1.4623207,-9.096917,-7.2229304,37.97547,58.883644,10.340367,7.682408,-14.312942
27,-0.6149226427078247,5.146562099456787,79.09424591064453,0.6093396283927998,1.125661256689502,-90.02727326008431,-1.150797,0.5709299,12.851809,6.446827,-4.30379,-0.5901444,-2.1220784,-5.284211,-24.051626,10.901795,-10.658978,1.2022172,-0.9745646,-0.8957499,10.732743,-10.120961,7.6903214,-38.687717,60.947742,16.307413,1.2595369,1.606704,-9.106729,-7.3006315,37.990273,58.821518,10.343776,7.667442,-14.283659
28,-0.6406292915344238,5.2969069480896,79.09765625,0.6354497785505694,1.3013010253131823,-89.95940774727197,-1.5038078,0.55008334,12.79328,6.4488673,-4.131813,-0.5657139,-2.5170307,-5.340479,-24.101261,11.069138,-10.615795,1.1269249,-0.8523302,-0.9179476,10.954985,-10.160692,7.7318215,-38.160557,60.933952,16.309381,1.1807963,1.7175422,-9.12184,-7.383497,37.99854,58.761097,10.35438,7.634354,-14.277541
29,-0.6600915193557739,5.452150344848633,79.1002197265625,0.6686837192927642,1.4916732036863816,-89.90148286521298,-1.8768812,0.51823205,12.7470255,6.4502487,-3.9546337,-0.53376484,-2.9544685,-5.416912,-24.13621,11.278069,-10.583843,1.0544617,-0.7066936,-0.935449,11.182251,-10.214768,7.7726116,-37.609833,60.91523,16.294086,1.1360276,1.7728317,-9.136463,-7.4720182,37.989483,58.70253,10.364992,7.575056,-14.306816
30,-0.684038519859314,5.615610122680664,79.10154724121094,0.707367266544772,1.6936291316625673,-89.85142218339499,-2.269102,0.48446646,12.709374,6.4516635,-3.7691348,-0.5018245,-3.4291198,-5.5010285,-24.16073,11.519858,-10.56074,0.9751863,-0.54152113,-0.94874233,11.416747,-10.279429,7.812065,-37.03689,60.89558,16.269318,1.1122226,1.7938722,-9.150348,-7.566621,37.96221,58.644512,10.370954,7.497999,-14.359551
31,-0.699238657951355,5.798335075378418,79.10149383544922,0.7480629488665446,1.899512172224721,-89.80535079943841,-2.6790423,0.44288906,12.678302,6.4519453,-3.570216,-0.46020073,-3.9408495,-5.601172,-24.177176,11.795113,-10.535331,0.89595085,-0.37043446,-0.95972157,11.6683,-10.345887,7.8503366,-36.440742,60.875156,16.221085,1.0920261,1.816518,-9.171272,-7.667322,37.921196,58.583412,10.374405,7.416722,-14.410782
32,-0.7139686346054077,5.969087600708008,79.10070037841797,0.7874326641585689,2.1017401068147117,-89.75944973132185,-3.076578,0.40229774,12.647429,6.4518404,-3.3794515,-0.42058548,-4.4308243,-5.6967425,-24.194138,12.052551,-10.509852,0.820939,-0.2077484,-0.9716014,11.9466915,-10.405042,7.88859,-35.818375,60.85408,16.136301,1.0580258,1.8765764,-9.209013,-7.7740746,37.873894,58.518776,10.379477,7.3441963,-14.436846
33,-0.7290793657302856,6.1408867835998535,79.09917449951172,0.8236400811994756,2.2983079183107975,-89.71009498201096,-3.4687247,0.364859,12.613087,6.4501243,-3.1868012,-0.38236845,-4.9073153,-5.7861605,-24.215773,12.294054,-10.476757,0.74513865,-0.057845354,-0.9845475,12.252725,-10.44968,7.9278846,-35.157547,60.828568,15.977895,1.0058013,1.9895089,-9.263265,-7.8861213,37.8274,58.450817,10.39612,7.2828646,-14.427193
34,-0.7454840540885925,6.327514171600342,79.09673309326172,0.8588309007850645,2.4932191902375536,-89.66019212022813,-3.8700101,0.32944217,12.578829,6.448276,-2.983296,-0.34334078,-5.395213,-5.87413,-24.237827,12.536982,-10.43348,0.6629894,0.08476679,-0.9975253,12.581567,-10.482886,7.9688096,-34.455273,60.79562,15.770393,0.943335,2.1318946,-9.3306675,-8.00272,37.783108,58.380013,10.423989,7.225636,-14.3977
35,-0.7704089283943176,6.517176151275635,79.09273529052734,0.8962322498459034,2.687884211698918,-89.61564630394747,-4.273736,0.29853842,12.549064,6.447076,-2.7761736,-0.3091595,-5.891962,-5.9585257,-24.254503,12.790855,-10.3953285,0.5727978,0.22132102,-1.0111663,12.935006,-10.51498,8.012663,-33.730515,60.75785,15.586255,0.8726526,2.2829058,-9.418645,-8.12446,37.739235,58.309074,10.452416,7.1713037,-14.3638935
