Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
12,0.6419150829315186,2.062350034713745,77.93846893310547,-0.20230116861697492,-0.7296156032607016,-90.91160277776873,1.7266852,1.4208131,7.813765,8.253737,-7.537278,-0.7188644,2.494394,-5.3816314,-20.062946,10.009932,-12.82797,5.608256,-6.055744,-0.8124789,10.941598,3.582306,12.6502285,-26.205675,47.90408,20.071323,1.0309161,3.4826148,-5.1835904,-4.5369983,19.414385,59.634735,-19.38122,-5.582032,-7.6773696
13,0.6900854110717773,2.0379788875579834,77.9281234741211,-0.17287433724410942,-0.737786590819803,-90.85572179765398,1.7025816,1.3353404,7.7723193,8.34813,-7.6070886,-0.6494688,2.4137483,-5.5250125,-20.109686,10.298647,-12.991184,5.6798224,-6.1251087,-0.88077164,10.966546,3.706793,12.727485,-26.25617,47.695526,20.069637,1.0121233,3.4514582,-5.153894,-4.5559545,19.301596,59.60318,-19.375992,-5.577791,-7.6845593
14,0.7484379410743713,2.0194270610809326,77.91586303710938,-0.13405288630806433,-0.757645308305406,-90.81209351740114,1.7081007,1.2294693,7.742159,8.40473,-7.660008,-0.571686,2.3055508,-5.699188,-20.138552,10.661619,-13.184777,5.7598867,-6.1713104,-0.9621637,11.004134,3.815204,12.799425,-26.328274,47.50676,20.061657,0.99324584,3.446887,-5.1177387,-4.584624,19.177807,59.572334,-19.394587,-5.5787597,-7.6746373
15,0.8115748167037964,1.9928734302520752,77.90247344970703,-0.08061014034302101,-0.7822203070299755,-90.76676848880842,1.758954,1.095658,7.711333,8.387676,-7.68304,-0.48899302,2.1865048,-5.905086,-20.163483,11.077724,-13.410171,5.8502645,-6.2127237,-1.0576935,11.041461,3.9134429,12.865919,-26.4168,47.332577,20.058762,0.98067063,3.44214,-5.073618,-4.6231885,19.041174,59.543053,-19.425077,-5.5778956,-7.6568117
16,0.8896957039833069,1.962121605873108,77.887451171875,-0.01014781649748989,-0.8048810513440896,-90.70598601682724,1.8345872,0.9224933,7.6689444,8.314195,-7.680625,-0.39406735,2.0404906,-6.160329,-20.194233,11.567627,-13.672907,5.959396,-6.2678685,-1.1686655,11.065673,4.0085225,12.927254,-26.513433,47.16616,20.07437,0.9800878,3.4086967,-5.0206833,-4.671275,18.889326,59.51676,-19.455164,-5.568457,-7.6396337
17,0.974850058555603,1.9267480373382568,77.8686752319336,0.07520909667740709,-0.822396876613205,-90.62499716543938,1.9171023,0.7182503,7.60899,8.2146225,-7.668475,-0.29276213,1.8609402,-6.458761,-20.234024,12.142464,-13.982401,6.081485,-6.341978,-1.2936624,11.070622,4.105216,12.983993,-26.616936,47.000835,20.123386,1.0000405,3.322536,-4.957737,-4.728623,18.724602,59.497906,-19.488474,-5.5472317,-7.6213655
18,1.066053867340088,1.8831826448440552,77.84730529785156,0.1781118369962334,-0.8390439449991993,-90.53163347882973,2.0292575,0.48127186,7.5385876,8.058097,-7.633793,-0.18552962,1.6641152,-6.79699,-20.276583,12.7780075,-14.328105,6.216587,-6.4256053,-1.432904,11.063735,4.2006445,13.03633,-26.727955,46.839317,20.197218,1.0344406,3.20208,-4.88552,-4.794947,18.548271,59.48371,-19.528347,-5.51839,-7.598232
19,1.1629546880722046,1.8439639806747437,77.82027435302734,0.2991636606223313,-0.8587085443468353,-90.43064350633031,2.135827,0.21590996,7.46157,7.9128675,-7.603274,-0.07123922,1.4195902,-7.1847177,-20.316046,13.527842,-14.728001,6.361026,-6.5158134,-1.5917435,11.052833,4.2884912,13.084109,-26.838902,46.690475,20.275951,1.0670477,3.0823786,-4.807758,-4.8700337,18.353436,59.466515,-19.566423,-5.4854817,-7.576503
20,1.2715224027633667,1.8022326231002808,77.78863525390625,0.4417720418880397,-0.8853792730723167,-90.32688354988102,2.25645,-0.086038224,7.3832736,7.7573204,-7.569573,0.054555964,1.1475854,-7.6263003,-20.349596,14.364512,-15.169624,6.5215106,-6.6095033,-1.7750136,11.046081,4.362735,13.126563,-26.938902,46.562965,20.342115,1.080715,2.9965744,-4.72867,-4.9531817,18.129965,59.439125,-19.596352,-5.4534054,-7.5606008
21,1.3857083320617676,1.7535632848739624,77.75084686279297,0.6120010031577428,-0.9125226485645047,-90.22247988901154,2.3855362,-0.4275958,7.304454,7.593675,-7.534692,0.18794475,0.83623844,-8.127622,-20.375904,15.305717,-15.668378,6.6957035,-6.7065783,-1.9875305,11.034806,4.4252496,13.161949,-27.021269,46.461388,20.400032,1.0623145,2.959982,-4.6459727,-5.0425673,17.872902,59.399536,-19.61269,-5.413197,-7.5506544
22,1.5022541284561157,1.7125680446624756,77.70591735839844,0.8071807082797461,-0.9405641064207323,-90.11458474815804,2.4856486,-0.8000438,7.222605,7.4834647,-7.5227437,0.32726842,0.47331026,-8.683486,-20.393585,16.35524,-16.216755,6.876796,-6.8086214,-2.2264848,11.018054,4.478089,13.1892,-27.086426,46.38091,20.462114,1.02294,2.949895,-4.5602155,-5.1371284,17.582651,59.353165,-19.625578,-5.3662357,-7.5429173
23,1.6299526691436768,1.6731749773025513,77.65189361572266,1.0186628017543407,-0.9844100712464199,-90.0007769698358,2.5402498,-1.1936121,7.137907,7.5046563,-7.5812373,0.47773814,0.09157142,-9.286035,-20.400896,17.488363,-16.80088,7.0725565,-6.915176,-2.4854822,11.015943,4.5132055,13.208926,-27.135336,46.31674,20.520628,0.9816912,2.9424775,-4.479749,-5.237869,17.256636,59.303413,-19.65206,-5.3328824,-7.5358863
24,1.764950156211853,1.6486330032348633,77.58560943603516,1.2373720759958196,-1.0588027799208164,-89.87867201466045,2.5005705,-1.587675,7.0507193,7.777326,-7.7667623,0.6377786,-0.30673134,-9.922117,-20.394596,18.715311,-17.415863,7.2755427,-7.02522,-2.7567332,11.049093,4.522992,13.222694,-27.170273,46.26252,20.566156,0.9571084,2.913347,-4.410561,-5.346632,16.89133,59.250843,-19.70893,-5.3350205,-7.5262012
25,1.9010050296783447,1.628800630569458,77.50711822509766,1.4682790391851517,-1.1687953538550764,-89.75043005134575,2.3951945,-1.9872372,6.9642158,8.266718,-8.068445,0.8039843,-0.7036156,-10.590912,-20.372644,20.026459,-18.068384,7.4856267,-7.1347537,-3.0468543,11.121522,4.5096264,13.231102,-27.190271,46.21245,20.60261,0.95595247,2.8578284,-4.350148,-5.464508,16.480207,59.19025,-19.805927,-5.360109,-7.493105
26,2.038942575454712,1.6092959642410278,77.44343566894531,1.7131186807586303,-1.3063310794726508,-89.61664078914252,2.5525498,-2.4375598,6.8667235,8.254087,-8.105907,0.97756064,-1.3065739,-11.37073,-20.295343,21.860134,-18.981153,7.7079268,-7.2442956,-3.357378,11.222616,4.476087,13.2343025,-27.195927,46.17014,20.631952,0.96736336,2.7877533,-4.295621,-5.591822,16.02323,59.121555,-19.934284,-5.4038706,-7.4426246
27,2.188708543777466,1.5891954898834229,77.38114929199219,1.958527867618863,-1.4666782934428775,-89.47251564655284,2.765867,-2.902626,6.7579937,8.173455,-8.109221,1.1614895,-1.9178649,-12.17167,-20.205963,23.758104,-19.852575,7.944272,-7.359713,-3.6735406,11.350585,4.415677,13.23417,-27.193653,46.143375,20.640541,0.984043,2.704925,-4.252299,-5.729998,15.529561,59.05213,-20.080742,-5.5000696,-7.41292
