Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
12,0.12638530135154724,2.829554557800293,78.50411224365234,1.0843820793025334,-1.1444801078675424,-92.82547631750019,0.32378414,2.8160188,5.599474,6.569323,-4.9384985,-3.5030024,-0.16160953,-5.3356566,-9.5840845,8.290624,-9.687972,3.0982487,-4.2062025,-1.3148547,8.398725,6.5663447,17.761469,-22.38214,55.619797,27.32528,-4.3529005,0.3029639,1.2852489,-12.136861,17.021461,60.888123,-26.106108,-4.113836,-12.30032
13,0.12323065847158432,2.8364245891571045,78.50253295898438,1.0780370016751935,-1.145010116129971,-92.82517483090876,0.3192348,2.8265586,5.597361,6.568182,-4.9320045,-3.5082488,-0.17561872,-5.326241,-9.584253,8.309354,-9.692894,3.09268,-4.204363,-1.3225275,8.402083,6.573676,17.787838,-22.405725,55.596096,27.313498,-4.349457,0.30592874,1.2702113,-12.116488,17.054703,60.898552,-26.048853,-4.122751,-12.305337
14,0.12212216109037399,2.8385069370269775,78.50293731689453,1.0671309846486725,-1.1452694072556255,-92.82708545528814,0.3182508,2.8410993,5.5971,6.568461,-4.9312725,-3.5131109,-0.14934856,-5.306328,-9.586067,8.248775,-9.6593275,3.088451,-4.2022395,-1.3173403,8.40679,6.5777135,17.798914,-22.414906,55.58021,27.315084,-4.3457894,0.3048744,1.2666315,-12.106919,17.06725,60.89599,-26.003452,-4.145177,-12.298105
15,0.12471036612987518,2.838099479675293,78.50435638427734,1.0552276676649,-1.1451955161586194,-92.82990538014091,0.31819043,2.8540425,5.598325,6.5702596,-4.9337397,-3.514892,-0.10479963,-5.2854853,-9.588224,8.152125,-9.60794,3.0876026,-4.2027287,-1.3091244,8.410754,6.581879,17.807178,-22.42401,55.565742,27.309423,-4.3410006,0.3029957,1.2683749,-12.098601,17.078625,60.890602,-25.964956,-4.1670485,-12.294012
16,0.12325166165828705,2.8388214111328125,78.50337219238281,1.0488425737535723,-1.1445955426938537,-92.83234226014645,0.316979,2.8638334,5.599619,6.5715866,-4.9347925,-3.5177464,-0.10465686,-5.2752366,-9.58636,8.147849,-9.6050825,3.0844374,-4.1940975,-1.3039736,8.413882,6.584743,17.813885,-22.434643,55.55301,27.309654,-4.3394804,0.29966003,1.2545273,-12.091099,17.092352,60.897545,-25.925508,-4.178468,-12.291231
17,0.12239895015954971,2.841594696044922,78.5033950805664,1.0459887775264374,-1.1431074147105156,-92.83419794483765,0.313393,2.8685443,5.601361,6.571436,-4.9329767,-3.517264,-0.10454829,-5.2694354,-9.58489,8.137661,-9.597011,3.0821953,-4.193952,-1.3028134,8.415449,6.587585,17.82281,-22.45141,55.543713,27.290121,-4.34136,0.29951248,1.2465622,-12.079016,17.112036,60.905846,-25.913055,-4.1767244,-12.303379
18,0.1227583959698677,2.8438823223114014,78.50320434570312,1.046747387419,-1.1409500660263137,-92.83614223955747,0.3085424,2.868277,5.604435,6.5730667,-4.932563,-3.5137985,-0.11499322,-5.270872,-9.581642,8.149261,-9.60045,3.0819733,-4.190388,-1.3025197,8.41533,6.589521,17.829924,-22.467703,55.536896,27.269238,-4.346984,0.297445,1.2383991,-12.067459,17.128984,60.913925,-25.912601,-4.166047,-12.318518
19,0.12126187980175018,2.847428321838379,78.50342559814453,1.048416697512315,-1.138767627863252,-92.83792149594576,0.30344233,2.8681133,5.6068873,6.5731673,-4.930166,-3.511541,-0.124975696,-5.2714686,-9.578904,8.157618,-9.601438,3.0800385,-4.1874433,-1.3023158,8.415144,6.591635,17.835358,-22.483303,55.532288,27.251244,-4.3535166,0.29380536,1.2321017,-12.056286,17.143675,60.921406,-25.919258,-4.155149,-12.33343
20,0.12100903689861298,2.8499274253845215,78.5037841796875,1.0501825675420249,-1.1373993725433194,-92.83947262467764,0.29949602,2.8668458,5.6087985,6.574168,-4.928856,-3.5098393,-0.13051799,-5.2730546,-9.576767,8.1602125,-9.600053,3.0795166,-4.18498,-1.3054497,8.415477,6.5918655,17.842505,-22.50997,55.529903,27.230776,-4.3519254,0.29345486,1.2141564,-12.038886,17.167742,60.94426,-25.912783,-4.1452484,-12.352435
21,0.12322603911161423,2.851461410522461,78.50463104248047,1.0522196936882318,-1.1369852224881123,-92.84065381945315,0.29789612,2.8629675,5.609833,6.5746,-4.9282365,-3.5081968,-0.1276041,-5.2763643,-9.575756,8.149247,-9.592197,3.0815501,-4.186637,-1.3081254,8.417056,6.590918,17.8473,-22.531101,55.53257,27.227428,-4.3484373,0.2880153,1.2020034,-12.024462,17.185492,60.962467,-25.90645,-4.146423,-12.363569
22,0.12048377841711044,2.8546736240386963,78.50288391113281,1.0532552700311661,-1.1371260201628872,-92.8416610444527,0.29487762,2.8640413,5.608917,6.5755634,-4.9255657,-3.5119982,-0.15644176,-5.279571,-9.573374,8.205019,-9.619233,3.0789273,-4.188128,-1.3121294,8.419596,6.5879865,17.851269,-22.554012,55.538563,27.232674,-4.341562,0.280802,1.182728,-12.0095215,17.20441,60.98888,-25.893238,-4.1512165,-12.372646
