Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
12,0.10998547077178955,2.853959083557129,78.50289154052734,-0.5965068548935024,-1.8376397876003514,-88.98454145178779,-0.4809503,2.8221712,17.018837,11.2368965,-10.024998,0.84695375,-1.0006378,-2.636365,-10.612973,14.427331,-11.174301,0.9071279,-4.1886907,0.123162016,10.225943,-5.936361,10.070945,-26.815134,65.28807,28.557367,-4.924112,7.7596827,-6.3814936,-9.301169,25.441744,64.87271,-10.468973,-1.4374751,-4.6123195
13,0.11186812818050385,2.8461105823516846,78.49105834960938,-0.5995556025209935,-1.946290622008922,-89.0870704328236,-0.42827466,2.8820944,17.109331,11.466586,-10.197594,0.8196822,-0.9714236,-2.6216478,-10.513096,14.599072,-11.282422,0.91162604,-4.1400805,0.08733802,10.615049,-6.369662,10.430986,-27.486101,65.04257,29.502071,-4.806582,7.6712174,-6.8572016,-9.609835,26.265446,64.05896,-11.393577,-1.4062383,-4.389032
14,0.11726317554712296,2.8482441902160645,78.47991943359375,-0.5993998725629293,-2.0640677654426063,-89.20069035755309,-0.34804565,2.9322548,17.21215,11.649165,-10.343523,0.79366493,-0.9321677,-2.6080992,-10.403908,14.752369,-11.372794,0.913278,-4.101886,0.04490155,11.046064,-6.8435373,10.8473425,-28.264353,64.77476,30.595036,-4.697172,7.70179,-7.3425803,-9.969421,27.151268,63.05036,-12.490793,-1.3601968,-4.1392336
15,0.11353648453950882,2.8395376205444336,78.47251892089844,-0.5999914450968634,-2.162031271941925,-89.32207126964319,-0.25418442,2.9832225,17.321852,11.7720995,-10.461065,0.7583288,-0.88559246,-2.5812693,-10.290379,14.8530035,-11.439459,0.9095491,-4.0653963,0.0011643753,11.469315,-7.2666354,11.32285,-29.094873,64.33013,31.708096,-4.5247655,7.858153,-7.772668,-10.383987,28.053272,61.793755,-13.731843,-1.2905871,-3.9323184
16,0.11148115247488022,2.8341968059539795,78.46758270263672,-0.6021827970793586,-2.2113526029379087,-89.44787550514316,-0.2017678,3.0316548,17.436234,11.861576,-10.552085,0.72685677,-0.88127446,-2.5490746,-10.171909,14.920865,-11.480736,0.9097651,-4.022974,-0.03937879,11.834714,-7.535452,11.862788,-29.884146,63.539722,32.74858,-4.2203283,8.133738,-8.074517,-10.860954,28.896763,60.224445,-15.117448,-1.1840073,-3.828037
17,0.1173883005976677,2.8201091289520264,78.46573638916016,-0.6052108455060337,-2.207285981301477,-89.57909318948704,-0.17953071,3.0696998,17.557627,11.8991375,-10.615259,0.70193714,-0.9133182,-2.514953,-10.04529,14.947048,-11.498221,0.92195755,-3.9809542,-0.07469461,12.135675,-7.6394124,12.4738035,-30.585056,62.371284,33.765877,-3.7527456,8.551426,-8.245736,-11.407941,29.641872,58.293224,-16.811262,-1.0193964,-3.80227
18,0.1106901541352272,2.7885382175445557,78.46752166748047,-0.6092862265233551,-2.1644662075294048,-89.71687944026957,-0.16746682,3.1125963,17.68406,11.890402,-10.657021,0.6661795,-0.95768553,-2.4656954,-9.914051,14.926198,-11.497856,0.93140316,-3.9420474,-0.10700828,12.397885,-7.6020746,13.160663,-31.19689,60.870808,34.835464,-3.163019,9.072636,-8.295666,-12.029742,30.293205,56.00157,-18.800558,-0.8037663,-3.8028874
19,0.10347670316696167,2.764523506164551,78.4709243774414,-0.6152556261887602,-2.0827318345000654,-89.85817907084879,-0.200779,3.1577897,17.813456,11.873631,-10.683637,0.63265496,-1.0445199,-2.411915,-9.780829,14.890412,-11.478912,0.9390202,-3.8953822,-0.13826895,12.619173,-7.370946,13.927331,-31.684614,58.981884,35.913784,-2.4915738,9.597247,-8.168967,-12.731739,30.836273,53.357788,-20.830502,-0.5605282,-3.8494427
20,0.09337645769119263,2.7278149127960205,78.47639465332031,-0.6221844476886335,-1.9620083494581086,-89.99997779137715,-0.2565449,3.202479,17.94319,11.829465,-10.698443,0.5954589,-1.155095,-2.3529983,-9.651115,14.829739,-11.44893,0.9419443,-3.830335,-0.16859423,12.797157,-6.8852954,14.7780695,-31.990814,56.63112,36.977867,-1.7855966,10.019702,-7.8039303,-13.520025,31.244959,50.354824,-22.65244,-0.314402,-3.958394
21,0.08397664874792099,2.6842563152313232,78.48301696777344,-0.6274944389681609,-1.8074152652157267,-90.14549410168384,-0.32867673,3.2406518,18.077343,11.750094,-10.696216,0.5581592,-1.2905757,-2.2939577,-9.521728,14.750649,-11.406825,0.940487,-3.7337778,-0.20265563,12.934729,-6.1127267,15.720918,-32.06936,53.688564,38.081455,-1.0007589,10.317013,-7.183826,-14.405153,31.517216,46.90528,-24.280933,-0.0453096,-4.1570992
