Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
11,-0.47452864050865173,3.873680591583252,102.42850494384766,0.46779180614882393,-0.893281389701818,-91.22295815269177,-0.85692304,0.1085883,9.715158,-7.978851,3.588703,-12.697752,-4.875733,37.39363,62.003544,11.384473,7.4793897,-15.873007,-9.567572,4.5308037,-45.80853,59.99103,16.198933,2.8838885,2.5925376,0.90041023,1.9951583,13.609718,12.271428,-4.146112,-9.438842,-1.1622624,-4.7437377,-21.554268,15.877973,4.9348783,-14.21823
12,-0.5024088025093079,3.9551780223846436,102.4412841796875,0.47646732897003913,-0.8008411540089647,-91.15672304851358,-0.8154317,0.09627049,9.782079,-7.5607486,3.4342556,-12.667105,-4.9412007,37.463993,61.88236,11.411079,7.505107,-15.881649,-9.615407,4.6032786,-45.849133,59.86793,16.096336,2.8899417,2.6395762,0.7639359,1.9919233,13.483007,12.185803,-4.1441054,-9.333599,-1.3007586,-4.727007,-21.560358,15.833345,4.8982983,-14.15883
13,-0.5200484991073608,4.0325798988342285,102.45431518554688,0.48618041498810555,-0.7101090559825002,-91.08975547681257,-0.7722978,0.07714397,9.860297,-7.1175365,3.2645807,-12.639655,-5.0036454,37.53372,61.763027,11.456856,7.5197315,-15.8812475,-9.668569,4.6723685,-45.882935,59.762012,15.991869,2.9151387,2.6936219,0.6401099,1.980465,13.362829,12.085963,-4.13771,-9.224269,-1.4307467,-4.716416,-21.570274,15.782721,4.8685093,-14.096378
14,-0.5386584997177124,4.120138645172119,102.46790313720703,0.4960651366978303,-0.6183280764232879,-91.0218721378527,-0.72663844,0.051700752,9.946607,-6.647657,3.0790622,-12.614974,-5.063084,37.6026,61.646442,11.517676,7.524521,-15.873886,-9.727139,4.738043,-45.90869,59.668446,15.885764,2.9551659,2.7524872,0.50666624,1.9693326,13.236822,11.988921,-4.130678,-9.110316,-1.571229,-4.7058153,-21.576223,15.73536,4.835494,-14.030147
15,-0.5642830729484558,4.204601764678955,102.4815902709961,0.5078980048046313,-0.522318640081412,-90.95297455218406,-0.67583454,0.023522703,10.039592,-6.159666,2.8768244,-12.592923,-5.119977,37.669933,61.537376,11.589542,7.521514,-15.86852,-9.792367,4.800759,-45.92446,59.585686,15.7668915,2.9982162,2.815814,0.376058,1.9580631,13.11119,11.879982,-4.126856,-8.990632,-1.7139106,-4.692689,-21.582493,15.686525,4.7997036,-13.966279
16,-0.5869547128677368,4.307408332824707,102.49652862548828,0.5207231774791135,-0.41899384073333357,-90.88297593085419,-0.6176631,-0.002322081,10.139415,-5.667851,2.656705,-12.573832,-5.1747007,37.734688,61.439037,11.668356,7.513138,-15.874281,-9.866892,4.8608785,-45.928093,59.512226,15.622778,3.0304136,2.8829296,0.22345918,1.9443032,12.974709,11.772015,-4.1184616,-8.861661,-1.8824643,-4.6827664,-21.57676,15.641993,4.7605686,-13.892789
17,-0.6137335300445557,4.419715881347656,102.51136016845703,0.5344539491331942,-0.30768438354957334,-90.8128820917714,-0.5535204,-0.02281705,10.246161,-5.183437,2.4172413,-12.558584,-5.2275376,37.7956,61.351776,11.756368,7.49943,-15.899522,-9.951589,4.9186153,-45.91837,59.446556,15.454245,3.0443704,2.9480634,0.04955671,1.9320643,12.8276,11.671416,-4.110059,-8.730301,-2.0740201,-4.672605,-21.559414,15.606815,4.7166786,-13.818831
18,-0.6315721273422241,4.544973373413086,102.5265121459961,0.5502326706684443,-0.18997048366075148,-90.74235900692067,-0.4840584,-0.039135918,10.361643,-4.7083726,2.1579485,-12.547546,-5.278867,37.852062,61.273235,11.853059,7.4801617,-15.939201,-10.046315,4.974296,-45.894405,59.390553,15.26708,3.044442,3.0118077,-0.1395872,1.9125848,12.674129,11.568514,-4.094911,-8.591849,-2.2915833,-4.6718955,-21.527557,15.584157,4.6743608,-13.740619
19,-0.6486655473709106,4.6606059074401855,102.54258728027344,0.5651839507007081,-0.06610550783961268,-90.66952792264156,-0.40697056,-0.054064598,10.487538,-4.244025,1.8800169,-12.539718,-5.328807,37.903877,61.20281,11.948152,7.4558835,-15.980413,-10.151522,5.0280166,-45.853962,59.34799,15.055686,3.036112,3.085379,-0.31728613,1.8900249,12.525115,11.441102,-4.0799146,-8.445169,-2.4953368,-4.665927,-21.505722,15.537399,4.634854,-13.656076
20,-0.6693360805511475,4.773231506347656,102.55924224853516,0.5813660172805988,0.06391948265312587,-90.59220968428609,-0.32150105,-0.07105545,10.625426,-3.7921631,1.5865725,-12.534379,-5.3775125,37.951134,61.138412,12.029648,7.4287014,-16.008867,-10.26814,5.080038,-45.793957,59.324814,14.81313,3.0237806,3.1814241,-0.49172035,1.8657734,12.373794,11.295745,-4.0662527,-8.289174,-2.697426,-4.656776,-21.489738,15.47958,4.5940757,-13.568897
21,-0.6970694065093994,4.905673980712891,102.57644653320312,0.597748588251141,0.2006581243621501,-90.5077058999567,-0.22917604,-0.09259963,10.775724,-3.350272,1.2838037,-12.530553,-5.4250517,37.993355,61.078094,12.090559,7.3984776,-16.015804,-10.398782,5.130543,-45.710716,59.324814,14.526205,3.0113087,3.304298,-0.69071746,1.8449689,12.202961,11.154273,-4.052766,-8.122216,-2.9266644,-4.6448445,-21.467941,15.431184,4.5440245,-13.4774275
