Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
11,-0.04148111864924431,2.828071117401123,101.74565124511719,-0.5398055307032672,-1.7306238450500993,-88.89459882171168,-3.2240124,0.4402691,10.734437,-17.225824,3.1079946,-10.383819,-6.0184436,24.106295,69.19903,-9.378106,-2.1373138,-6.457647,-8.299225,5.7175384,-29.0328,67.7209,27.030571,-4.992296,10.388947,-4.0274835,3.7367609,14.211521,17.851019,-2.531137,-13.245938,-3.9299757,-4.0562315,-7.5460644,19.453337,4.117318,-13.670049
12,-0.03386760130524635,2.8310115337371826,101.71407318115234,-0.5445937295002955,-1.830922854857905,-88.98681002867771,-3.2027528,0.38719735,10.897924,-17.422222,3.1470013,-10.529178,-6.308808,25.464603,68.422874,-9.683578,-2.1017034,-6.3366404,-8.456467,6.0683784,-29.955809,67.438515,27.50361,-4.8091397,10.16765,-4.0653715,3.7907002,14.257034,18.143959,-2.548285,-13.409378,-4.0005774,-4.0637393,-7.3916917,19.723114,4.131691,-13.799704
13,-0.03347107395529747,2.8368070125579834,101.68502044677734,-0.5479298825515105,-1.9404342267225632,-89.08954329173814,-3.1889477,0.31956834,11.054231,-17.600864,3.1884851,-10.707917,-6.562064,26.748035,67.59004,-10.321315,-2.0816023,-6.1996875,-8.668473,6.3783975,-30.868898,67.28728,28.280676,-4.6654625,10.129631,-4.073561,3.8444507,14.326418,18.408587,-2.5725577,-13.558338,-4.055983,-4.068037,-7.2416,19.979752,4.137214,-13.920043
14,-0.029418135061860085,2.8594107627868652,101.6550521850586,-0.5477156098959158,-2.059021900457302,-89.20333386468586,-3.1961248,0.23739345,11.203731,-17.762842,3.2520254,-10.8894005,-6.860146,28.310564,66.60884,-10.950678,-2.034606,-6.0991845,-8.882856,6.747032,-32.040123,67.12213,29.067278,-4.4901257,10.240234,-4.070137,3.8929408,14.413161,18.661364,-2.5956163,-13.696822,-4.1166735,-4.0763006,-7.0812693,20.24296,4.138193,-14.033455
15,-0.03642358258366585,2.8749256134033203,101.6286392211914,-0.5479866935519494,-2.1582275133042166,-89.32490355134591,-3.191711,0.15052804,11.307994,-17.904192,3.3087597,-11.04762,-7.1305013,29.711187,65.54068,-11.903358,-2.0171535,-6.0333347,-9.105424,7.0838003,-33.137554,66.963936,30.018076,-4.3051095,10.475538,-4.0666757,3.9435802,14.507169,18.882711,-2.6255808,-13.821133,-4.1810136,-4.07536,-6.9158926,20.47558,4.1344514,-14.133808
16,-0.038309551775455475,2.905092477798462,101.60465240478516,-0.5496848257420387,-2.209531778751186,-89.4509084603049,-3.1796238,0.065020934,11.323244,-18.01321,3.3668385,-11.138817,-7.3944144,30.969698,64.34273,-13.095421,-2.0211208,-6.0810537,-9.279771,7.4105015,-34.139816,66.68672,30.95434,-4.061509,10.8514595,-4.12455,3.989829,14.5771475,19.091448,-2.648233,-13.929566,-4.3039765,-4.070379,-6.715378,20.689056,4.1360774,-14.21513
17,-0.027020571753382683,2.9344723224639893,101.5837173461914,-0.5519753546921392,-2.2082196470972675,-89.58232762042591,-3.1714532,-0.018824827,11.243402,-18.094313,3.443364,-11.147875,-7.665958,32.110077,62.957817,-14.643607,-2.0118217,-6.2434707,-9.397236,7.741824,-35.046658,66.25965,31.877768,-3.7176428,11.406377,-4.232512,4.0253882,14.63142,19.274654,-2.6612546,-14.0237875,-4.476098,-4.064406,-6.480462,20.871302,4.151053,-14.278185
18,-0.030410906299948692,2.94814395904541,101.56697082519531,-0.5551352593068414,-2.1686161798933465,-89.72033672482681,-3.1757727,-0.103332795,11.097496,-18.160872,3.542925,-11.07318,-7.9868035,33.254196,61.34027,-16.431095,-1.9631712,-6.4994707,-9.443541,8.124895,-35.952484,65.65048,32.7704,-3.2760696,12.111654,-4.3605857,4.0642242,14.681619,19.426939,-2.6820488,-14.1056385,-4.6667175,-4.0456924,-6.231809,21.015982,4.1649427,-14.328718
19,-0.03192314878106117,2.9767730236053467,101.55258178710938,-0.5601374566735617,-2.0904055098841563,-89.86183907375997,-3.189539,-0.18500371,10.907002,-18.22604,3.6522765,-10.884211,-8.43168,34.453,59.43331,-18.131023,-1.8802238,-6.8670177,-9.348562,8.637769,-36.871525,64.70229,33.529728,-2.7685645,12.860111,-4.539912,4.1008897,14.711009,19.569069,-2.698217,-14.173298,-4.9073496,-4.0219297,-5.9568305,21.148117,4.178242,-14.363286
20,-0.03470238298177719,2.993288993835449,101.54216003417969,-0.566268988595525,-1.9733997966242027,-90.00382553642076,-3.204079,-0.25791842,10.7140875,-18.32712,3.752793,-10.521633,-9.088681,35.599617,57.10853,-19.552113,-1.7770488,-7.3095613,-9.023869,9.36485,-37.65477,63.2078,34.214466,-2.2472024,13.508302,-4.742411,4.1339345,14.730454,19.680977,-2.71588,-14.230152,-5.173486,-3.9923832,-5.675022,21.254122,4.1878414,-14.387171
