Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
11,-0.08696126937866211,2.677245855331421,102.27131652832031,0.08520567193830465,0.33428390852152023,-88.74257599097716,-2.038345,2.180269,6.796984,-15.7493925,4.145539,-8.612281,-4.4755063,-2.5083828,71.53888,-23.273275,-2.3853476,-13.450674,-8.450913,5.637159,-6.5486236,75.84279,4.540895,-3.4432256,1.7361773,-1.8309326,0.92489487,7.8155546,9.628826,-1.7302078,-8.592122,-2.6915114,-1.739887,-5.4416456,11.824746,1.9606514,-10.705548
12,-0.08665923029184341,2.6741771697998047,102.27116394042969,0.08490189672267116,0.33499097405273676,-88.74268260016235,-2.0384114,2.1806114,6.797148,-15.749388,4.1455417,-8.612362,-4.4798446,-2.5085456,71.53877,-23.273104,-2.3855376,-13.450571,-8.450534,5.6412773,-6.549026,75.84312,4.5409317,-3.4430006,1.7361343,-1.8304663,0.92518973,7.815723,9.630053,-1.7304773,-8.59443,-2.689506,-1.7396908,-5.442492,11.823631,1.9610208,-10.7068615
13,-0.08811765164136887,2.67158842086792,102.27046203613281,0.08509585920191941,0.33508645530379544,-88.74227140989544,-2.0384526,2.1813157,6.7974596,-15.749375,4.1455474,-8.612521,-4.487388,-2.5088265,71.538574,-23.272783,-2.3859062,-13.450338,-8.449794,5.648541,-6.5497136,75.84372,4.540962,-3.4425838,1.7360815,-1.8348856,0.92658585,7.812777,9.639889,-1.7312231,-8.60045,-2.6929333,-1.7393967,-5.4407406,11.832096,1.9604497,-10.712593
14,-0.08848579227924347,2.668290138244629,102.27014923095703,0.08477382160442888,0.3337758265319618,-88.74037998284409,-2.038246,2.18286,6.7981386,-15.749348,4.145557,-8.612818,-4.5014434,-2.5093074,71.538216,-23.272171,-2.3866532,-13.449725,-8.448234,5.662259,-6.550919,75.844955,4.540852,-3.4417796,1.736023,-1.8335482,0.92745423,7.8116903,9.643607,-1.73129,-8.604067,-2.6866581,-1.7387911,-5.4450445,11.829188,1.9608217,-10.713719
15,-0.08859578520059586,2.6681103706359863,102.26995849609375,0.08499222533153107,0.3333679552667979,-88.73949581540003,-2.0381093,2.1832807,6.798323,-15.74934,4.1455593,-8.612885,-4.5052476,-2.5094023,71.53814,-23.272038,-2.386833,-13.449548,-8.4478245,5.666033,-6.551171,75.84527,4.5407825,-3.4415832,1.736038,-1.833098,0.9273439,7.811289,9.643692,-1.7309006,-8.604199,-2.6882274,-1.7391378,-5.44452,11.832993,1.960943,-10.715839
16,-0.08978234231472015,2.667794704437256,102.26819610595703,0.0834121533228182,0.30316264887439115,-88.72995509389865,-2.015573,2.237048,6.838016,-15.711893,4.1466093,-8.60518,-4.614688,-2.5202036,71.54883,-23.158546,-2.534802,-13.292972,-8.381384,5.765754,-6.6412163,75.9178,4.4008913,-3.4844584,1.6580245,-1.8296822,0.934196,7.805573,9.69694,-1.7308534,-8.629958,-2.6498098,-1.7382803,-5.471759,11.835899,1.9618511,-10.720948
17,-0.0892278328537941,2.666546106338501,102.26858520507812,0.0832096316717846,0.3037328673423559,-88.72971852176997,-2.0155513,2.2370715,6.8380227,-15.711891,4.1466093,-8.605179,-4.6165695,-2.520209,71.548836,-23.158548,-2.5348074,-13.292955,-8.381367,5.767505,-6.641369,75.91781,4.400882,-3.4844525,1.6580324,-1.8237699,0.9334435,7.808675,9.687898,-1.7308228,-8.626594,-2.6457057,-1.7381399,-5.474069,11.829585,1.9623508,-10.718719
18,-0.08722272515296936,2.663607597351074,102.26891326904297,0.082735537795769,0.3052873286292312,-88.72807644777076,-2.0154068,2.237258,6.8381176,-15.7118845,4.146611,-8.605166,-4.623652,-2.5201762,71.54888,-23.15859,-2.534821,-13.292861,-8.381244,5.7741914,-6.641998,75.91789,4.4008684,-3.4843836,1.6581026,-1.8210722,0.93244916,7.80903,9.683378,-1.7300763,-8.626109,-2.6398897,-1.7384634,-5.478361,11.821291,1.9639986,-10.7167225
19,-0.08580818772315979,2.6594369411468506,102.26927185058594,0.08265839154048822,0.30776142568432685,-88.72458273436403,-2.015081,2.2378037,6.838397,-15.711874,4.1466155,-8.605148,-4.63672,-2.520043,71.54899,-23.15869,-2.5348723,-13.292603,-8.3809185,5.7866926,-6.643318,75.91814,4.4009,-3.4841712,1.6582652,-1.817645,0.9311794,7.80833,9.676976,-1.7297121,-8.625269,-2.6333609,-1.7388654,-5.484624,11.81207,1.9654498,-10.715319
20,-0.08461519330739975,2.657771587371826,102.2690200805664,0.08256595098623522,0.30888694505863495,-88.72338904290099,-2.0149899,2.2379827,6.8384748,-15.711873,4.146617,-8.60516,-4.6403475,-2.520007,71.549,-23.158709,-2.5349023,-13.292534,-8.38081,5.7902117,-6.6436634,75.91823,4.4009166,-3.484098,1.6583151,-1.8215134,0.93097514,7.8054013,9.682614,-1.7292149,-8.628821,-2.636013,-1.7397163,-5.4840584,11.815933,1.9662184,-10.717914
21,-0.08404890447854996,2.6538681983947754,102.26832580566406,0.08233376530903926,0.31060461387649535,-88.72090102867871,-2.0148456,2.2383957,6.838564,-15.711867,4.1466208,-8.605258,-4.647147,-2.5199962,71.54894,-23.158663,-2.5350554,-13.292396,-8.380554,5.796882,-6.6443367,75.91843,4.4009433,-3.4839358,1.6583868,-1.8292236,0.93171716,7.799155,9.695478,-1.7289562,-8.636933,-2.6381752,-1.7401379,-5.4847827,11.821013,1.9668266,-10.722723
22,-0.08420418202877045,2.652637481689453,102.26787567138672,0.08274930284779841,0.3114059369619846,-88.71946472495958,-2.014799,2.238648,6.8385572,-15.711864,4.1466236,-8.605368,-4.65084,-2.520043,71.54885,-23.158579,-2.5352056,-13.292331,-8.380393,5.800548,-6.6446867,75.91856,4.400949,-3.483841,1.658404,-1.8318636,0.9316657,7.7964206,9.699521,-1.7290069,-8.639636,-2.6424828,-1.7408166,-5.483511,11.828503,1.9665189,-10.727383
23,-0.08365023881196976,2.6503360271453857,102.26736450195312,0.08262951226777274,0.31212883833091914,-88.71680804061121,-2.0147824,2.2391827,6.838437,-15.711857,4.146629,-8.605681,-4.6575365,-2.520238,71.548546,-23.158287,-2.5356238,-13.292215,-8.380046,5.8072667,-6.6453404,75.918816,4.400942,-3.483653,1.6583824,-1.8334934,0.9316418,7.793254,9.702449,-1.7287824,-8.642008,-2.645431,-1.7414501,-5.483789,11.83488,1.9667648,-10.731988
24,-0.08315844088792801,2.6487913131713867,102.26744079589844,0.0823437214138238,0.31264944557162494,-88.71519521259803,-2.0147905,2.2394958,6.8383374,-15.711854,4.1466317,-8.6058855,-4.6611195,-2.5203753,71.54834,-23.15809,-2.535887,-13.292156,-8.379848,5.8109007,-6.6456785,75.91896,4.4009333,-3.4835522,1.6583589,-1.8312674,0.93136966,7.793037,9.699256,-1.7286801,-8.641393,-2.6415184,-1.7412642,-5.487108,11.829912,1.9671179,-10.730811
25,-0.08126844465732574,2.6468701362609863,102.26754760742188,0.08161996307816963,0.31325526897013467,-88.71339512304203,-2.0147989,2.239839,6.8382316,-15.71185,4.146635,-8.606095,-4.6645064,-2.5205173,71.54814,-23.157885,-2.5361497,-13.292091,-8.379655,5.814373,-6.646004,75.9191,4.4009285,-3.4834588,1.6583414,-1.8305341,0.93086916,7.7920136,9.698893,-1.728258,-8.642452,-2.6361706,-1.7414167,-5.491225,11.823017,1.9684051,-10.728848
26,-0.07856114208698273,2.643918752670288,102.26722717285156,0.08113751539225797,0.31391093617625454,-88.7073537087322,-2.0148733,2.241351,6.837839,-15.7118435,4.146645,-8.606879,-4.6764064,-2.5210824,71.54739,-23.157034,-2.5371528,-13.291751,-8.378935,5.826667,-6.6473308,75.91961,4.4009457,-3.4831414,1.6582711,-1.8337288,0.92994237,7.785551,9.704349,-1.7271217,-8.64609,-2.6327233,-1.7427123,-5.4974875,11.821647,1.9705137,-10.730586
27,-0.07641276717185974,2.6414549350738525,102.26730346679688,0.08063962471361205,0.3148198943265607,-88.70405058870324,-2.0148885,2.2421868,6.837658,-15.711842,4.1466494,-8.607262,-4.6826673,-2.5213487,71.54705,-23.156614,-2.5376272,-13.291547,-8.378591,5.833198,-6.6480136,75.91985,4.400969,-3.4830027,1.6582553,-1.8309655,0.9287215,7.7845635,9.700246,-1.7264941,-8.645396,-2.6279144,-1.7433939,-5.502477,11.81562,1.9720765,-10.729267
28,-0.07374995946884155,2.640707492828369,102.26756286621094,0.08050548850437765,0.31580705124817926,-88.70059687217027,-2.014872,2.243085,6.8374867,-15.711842,4.146653,-8.607647,-4.688883,-2.5215912,71.54673,-23.156204,-2.5380933,-13.29131,-8.378251,5.839732,-6.6487083,75.92008,4.400998,-3.4828756,1.6582425,-1.8295261,0.9268248,7.782842,9.695875,-1.7250962,-8.6434355,-2.6254454,-1.7448128,-5.506276,11.811527,1.9740335,-10.727945
